Test age,comm,comm use,fun acd,HL,HS,LE,SC,Sd,So,Mo
3,0-5,,,,0-4,0-2,0-3,0-5,0-6,0-3
6,6,,,,,3,4,,7,4-6
9,7,,,,,4-5,5,,8,7-9
13,,,,,5,6-7,6,6,9,10-13
17,8,,,,,8-9,7-8,,10-11,14-17
21,9,,,,6,10-11,9-10,7,12-13,18-21
25,10,,,,7,12-14,11-12,8,14-15,22-25
28,11,,,,8,15-16,13-15,9,16-17,26-28
32,12-14,,,,9-10,17-19,16-17,10-11,18-20,29-32
35,15-17,,,,11-12,20-22,18-20,12-14,21-23,33-35
39,18-21,,,,13-14,23-25,21-23,15-16,24-25,36-39
42,22-25,,,,15-16,26-28,24-25,17-19,26-28,40-42
45,26-29,0-5,0-4,0-10,17-19,29-31,26-28,20-22,29-31,43-45
48,30-33,6-7,5,11-16,20-21,32-34,29-31,23-25,32-34,46-48
50,34-37,8-10,6,17-22,22-24,35-37,32-34,26-28,35-36,49-50
53,38-41,11-13,7-9,23-28,25-27,38-40,35-37,29-31,37-39,51-53
56,42-45,14-17,10-12,29-33,28-30,41-43,38-40,32-34,40-42,54-56
58,46-49,18-20,13-15,34-38,31-32,44-46,41-43,35-37,43-45,57-58
60,50-53,21-24,16-19,39-42,33-35,47-49,44-45,38-40,46-48,59-60
62,54-57,25-28,20-24,43-45,36-38,50-52,46-48,41-43,49-50,61-62
64,58-61,29-32,25-28,46-48,39-40,53-54,49-51,44-46,51-53,63-64
66,62-64,33-35,29-33,49-51,41-43,55-56,52-53,47-49,54-55,65-66
67,65-67,36-39,34-38,52-54,44-45,57-58,54-55,50-51,56-57,67
68,68-70,40-42,39-43,55-56,46-48,59-60,56-57,52-53,58-59,68
70,71,43-45,44-48,57,49-50,61-62,58-59,54-55,60-61,69-70
71,72,46-48,49-52,58,51-52,63,60-61,56-57,62-63,71
72,73,49-50,53-56,59,53-54,64,62,58-59,64,72
73,74,51-52,57-59,60,55,65,63,60,65,73
74,,53,60-62,61,56,66,64,61,66,74
,75,54,63-64,62,57,67,65,62,67,
75,,55,65-66,63,58,68,66,63,68,75
,76,56,67,64,59,,67,64,69,
,77,57,68,65,60,69,68,,,
76,78,,69,,61,,,65,70,76
78,,58-66,70-72,66-75,62-66,70-72,69-72,66-72,71-72,77-78
