age_equ,score,for,type
0,0,parent_caregiver,com
0,1,parent_caregiver,com
0,2,parent_caregiver,com
0,3,parent_caregiver,com
0,4,parent_caregiver,com
0,5,parent_caregiver,com
0.1,6,parent_caregiver,com
0.2,7,parent_caregiver,com
0.4,8,parent_caregiver,com
0.5,9,parent_caregiver,com
0.6,10,parent_caregiver,com
0.7,11,parent_caregiver,com
0.8,12,parent_caregiver,com
0.8,13,parent_caregiver,com
0.8,14,parent_caregiver,com
0.9,15,parent_caregiver,com
0.9,16,parent_caregiver,com
0.9,17,parent_caregiver,com
0.1,18,parent_caregiver,com
0.1,19,parent_caregiver,com
0.1,20,parent_caregiver,com
0.1,21,parent_caregiver,com
0.11,22,parent_caregiver,com
0.11,23,parent_caregiver,com
0.11,24,parent_caregiver,com
0.11,25,parent_caregiver,com
1.0-1.1,26,parent_caregiver,com
1.0-1.1,27,parent_caregiver,com
1.0-1.1,28,parent_caregiver,com
1.0-1.1,29,parent_caregiver,com
1.2-1.3,30,parent_caregiver,com
1.2-1.3,31,parent_caregiver,com
1.2-1.3,32,parent_caregiver,com
1.2-1.3,33,parent_caregiver,com
1.4-1.5,34,parent_caregiver,com
1.4-1.5,35,parent_caregiver,com
1.4-1.5,36,parent_caregiver,com
1.4-1.5,37,parent_caregiver,com
1.6-1.7,38,parent_caregiver,com
1.6-1.7,39,parent_caregiver,com
1.6-1.7,40,parent_caregiver,com
1.6-1.7,41,parent_caregiver,com
1.8-1.9,42,parent_caregiver,com
1.8-1.9,43,parent_caregiver,com
1.8-1.9,44,parent_caregiver,com
1.8-1.9,45,parent_caregiver,com
1.10-1.11,46,parent_caregiver,com
1.10-1.11,47,parent_caregiver,com
1.10-1.11,48,parent_caregiver,com
1.10-1.11,49,parent_caregiver,com
2.0-2.2,50,parent_caregiver,com
2.0-2.2,51,parent_caregiver,com
2.0-2.2,52,parent_caregiver,com
2.0-2.2,53,parent_caregiver,com
2.3-2.5,54,parent_caregiver,com
2.3-2.5,55,parent_caregiver,com
2.3-2.5,56,parent_caregiver,com
2.3-2.5,57,parent_caregiver,com
2.6-2.8,58,parent_caregiver,com
2.6-2.8,59,parent_caregiver,com
2.6-2.8,60,parent_caregiver,com
2.6-2.8,61,parent_caregiver,com
2.9-2.11,62,parent_caregiver,com
2.9-2.11,63,parent_caregiver,com
2.9-2.11,64,parent_caregiver,com
3.0-3.2,65,parent_caregiver,com
3.0-3.2,66,parent_caregiver,com
3.0-3.2,67,parent_caregiver,com
3.3-3.5,68,parent_caregiver,com
3.3-3.5,69,parent_caregiver,com
3.3-3.5,70,parent_caregiver,com
3.6-3.8,71,parent_caregiver,com
3.9-3.11,72,parent_caregiver,com
4.0-4.2,73,parent_caregiver,com
4.3-4.5,74,parent_caregiver,com
4.9-4.11,75,parent_caregiver,com
5.3-5.5,76,parent_caregiver,com
5.6-5.8,77,parent_caregiver,com
5.9-5.11,78,parent_caregiver,com
<5.0,0,parent,hs
<5.0,1,parent,hs
<5.0,2,parent,hs
<5.0,3,parent,hs
<5.0,4,parent,hs
<5.0,5,parent,hs
<5.0,6,parent,hs
<5.0,7,parent,hs
<5.0,8,parent,hs
<5.0,9,parent,hs
<5.0,10,parent,hs
<5.0,11,parent,hs
