std_score,per_rank,value,min_age,max_age,for,type
68,2,43,0,3,parent_caregiver,GAC
65,1,41,0,3,parent_caregiver,GAC
70,2,45,0,3,parent_caregiver,GAC
72,3,46,0,3,parent_caregiver,GAC
73,4,47,0,3,parent_caregiver,GAC
74,4,48,0,3,parent_caregiver,GAC
67,1,42,0,3,parent_caregiver,GAC
69,2,44,0,3,parent_caregiver,GAC
76,5,49,0,3,parent_caregiver,GAC
81,10,53,0,3,parent_caregiver,GAC
82,12,54,0,3,parent_caregiver,GAC
83,13,55,0,3,parent_caregiver,GAC
85,16,56,0,3,parent_caregiver,GAC
86,18,57,0,3,parent_caregiver,GAC
87,19,58,0,3,parent_caregiver,GAC
78,7,51,0,3,parent_caregiver,GAC
88,21,59,0,3,parent_caregiver,GAC
79,8,52,0,3,parent_caregiver,GAC
91,27,61,0,3,parent_caregiver,GAC
90,25,60,0,3,parent_caregiver,GAC
92,30,62,0,3,parent_caregiver,GAC
94,34,63,0,3,parent_caregiver,GAC
77,6,50,0,3,parent_caregiver,GAC
95,37,64,0,3,parent_caregiver,GAC
96,39,65,0,3,parent_caregiver,GAC
99,47,67,0,3,parent_caregiver,GAC
97,42,66,0,3,parent_caregiver,GAC
102,55,70,0,3,parent_caregiver,GAC
100,50,68,0,3,parent_caregiver,GAC
104,61,73,0,3,parent_caregiver,GAC
105,63,74,0,3,parent_caregiver,GAC
106,66,75,0,3,parent_caregiver,GAC
107,68,76,0,3,parent_caregiver,GAC
108,70,77,0,3,parent_caregiver,GAC
108,70,78,0,3,parent_caregiver,GAC
109,73,79,0,3,parent_caregiver,GAC
110,75,80,0,3,parent_caregiver,GAC
111,77,81,0,3,parent_caregiver,GAC
112,79,82,0,3,parent_caregiver,GAC
113,81,83,0,3,parent_caregiver,GAC
113,81,84,0,3,parent_caregiver,GAC
103,58,72,0,3,parent_caregiver,GAC
103,58,71,0,3,parent_caregiver,GAC
115,84,86,0,3,parent_caregiver,GAC
101,53,69,0,3,parent_caregiver,GAC
114,82,85,0,3,parent_caregiver,GAC
118,88,90,0,3,parent_caregiver,GAC
119,90,91,0,3,parent_caregiver,GAC
120,'>90',93,0,3,parent_caregiver,GAC
120,'>90',94,0,3,parent_caregiver,GAC
120,'>90',95,0,3,parent_caregiver,GAC
120,'>90',96,0,3,parent_caregiver,GAC
120,'>90',97,0,3,parent_caregiver,GAC
120,'>90',98,0,3,parent_caregiver,GAC
120,'>90',99,0,3,parent_caregiver,GAC
120,'>90',100,0,3,parent_caregiver,GAC
120,'>90',101,0,3,parent_caregiver,GAC
120,'>90',102,0,3,parent_caregiver,GAC
117,87,88,0,3,parent_caregiver,GAC
116,86,87,0,3,parent_caregiver,GAC
118,88,89,0,3,parent_caregiver,GAC
120,'>90',103,0,3,parent_caregiver,GAC
120,'>90',104,0,3,parent_caregiver,GAC
120,'>90',105,0,3,parent_caregiver,GAC
120,'>90',106,0,3,parent_caregiver,GAC
120,'>90',107,0,3,parent_caregiver,GAC
120,'>90',108,0,3,parent_caregiver,GAC
120,'>90',109,0,3,parent_caregiver,GAC
120,'>90',111,0,3,parent_caregiver,GAC
120,'>90',114,0,3,parent_caregiver,GAC
120,'>90',110,0,3,parent_caregiver,GAC
120,'>90',112,0,3,parent_caregiver,GAC
120,'>90',113,0,3,parent_caregiver,GAC
120,'>90',115,0,3,parent_caregiver,GAC
120,'>90',116,0,3,parent_caregiver,GAC
120,'>90',118,0,3,parent_caregiver,GAC
120,'>90',117,0,3,parent_caregiver,GAC
120,'>90',119,0,3,parent_caregiver,GAC
120,'>90',120,0,3,parent_caregiver,GAC
120,'>90',121,0,3,parent_caregiver,GAC
120,'>90',122,0,3,parent_caregiver,GAC
120,'>90',123,0,3,parent_caregiver,GAC
120,'>90',124,0,3,parent_caregiver,GAC
120,'>90',125,0,3,parent_caregiver,GAC
120,'>90',126,0,3,parent_caregiver,GAC
120,'>90',127,0,3,parent_caregiver,GAC
120,'>90',128,0,3,parent_caregiver,GAC
120,'>90',129,0,3,parent_caregiver,GAC
120,'>90',130,0,3,parent_caregiver,GAC
120,'>90',131,0,3,parent_caregiver,GAC
120,'>90',132,0,3,parent_caregiver,GAC
120,'>90',133,0,3,parent_caregiver,GAC
54,0.1,30,4,7,parent_caregiver,GAC
53,0.1,29,4,7,parent_caregiver,GAC
58,0.3,34,4,7,parent_caregiver,GAC
57,0.2,33,4,7,parent_caregiver,GAC
55,0.1,31,4,7,parent_caregiver,GAC
56,0.2,32,4,7,parent_caregiver,GAC
60,0.4,35,4,7,parent_caregiver,GAC
61,0.5,36,4,7,parent_caregiver,GAC
62,1,37,4,7,parent_caregiver,GAC
63,1,38,4,7,parent_caregiver,GAC
64,1,39,4,7,parent_caregiver,GAC
69,2,43,4,7,parent_caregiver,GAC
