scaled_score,raw_score,min_age,max_age,sub_domain,for
1,0,60,63,com,parent
1,1,60,63,com,parent
1,2,60,63,com,parent
1,3,60,63,com,parent
1,4,60,63,com,parent
1,5,60,63,com,parent
1,6,60,63,com,parent
1,7,60,63,com,parent
1,8,60,63,com,parent
1,9,60,63,com,parent
1,10,60,63,com,parent
1,11,60,63,com,parent
2,12,60,63,com,parent
2,13,60,63,com,parent
2,14,60,63,com,parent
2,15,60,63,com,parent
2,16,60,63,com,parent
3,17,60,63,com,parent
3,18,60,63,com,parent
3,19,60,63,com,parent
3,20,60,63,com,parent
4,21,60,63,com,parent
4,22,60,63,com,parent
4,23,60,63,com,parent
4,24,60,63,com,parent
4,25,60,63,com,parent
5,26,60,63,com,parent
5,27,60,63,com,parent
5,28,60,63,com,parent
5,29,60,63,com,parent
6,30,60,63,com,parent
6,31,60,63,com,parent
6,32,60,63,com,parent
6,33,60,63,com,parent
7,34,60,63,com,parent
7,35,60,63,com,parent
7,36,60,63,com,parent
7,37,60,63,com,parent
7,38,60,63,com,parent
8,39,60,63,com,parent
8,40,60,63,com,parent
8,41,60,63,com,parent
8,42,60,63,com,parent
9,43,60,63,com,parent
9,44,60,63,com,parent
9,45,60,63,com,parent
9,46,60,63,com,parent
9,47,60,63,com,parent
10,48,60,63,com,parent
10,49,60,63,com,parent
10,50,60,63,com,parent
11,51,60,63,com,parent
11,52,60,63,com,parent
11,53,60,63,com,parent
12,54,60,63,com,parent
12,55,60,63,com,parent
12,56,60,63,com,parent
13,57,60,63,com,parent
13,58,60,63,com,parent
13,59,60,63,com,parent
14,60,60,63,com,parent
14,61,60,63,com,parent
15,62,60,63,com,parent
15,63,60,63,com,parent
15,64,60,63,com,parent
16,65,60,63,com,parent
16,66,60,63,com,parent
16,67,60,63,com,parent
17,68,60,63,com,parent
17,69,60,63,com,parent
17,70,60,63,com,parent
18,71,60,63,com,parent
18,72,60,63,com,parent
1,0,64,67,com,parent
1,1,64,67,com,parent
1,2,64,67,com,parent
1,3,64,67,com,parent
1,4,64,67,com,parent
1,5,64,67,com,parent
1,6,64,67,com,parent
1,7,64,67,com,parent
1,8,64,67,com,parent
1,9,64,67,com,parent
1,10,64,67,com,parent
1,11,64,67,com,parent
1,12,64,67,com,parent
1,13,64,67,com,parent
1,14,64,67,com,parent
2,15,64,67,com,parent
2,16,64,67,com,parent
2,17,64,67,com,parent
2,18,64,67,com,parent
3,19,64,67,com,parent
3,20,64,67,com,parent
3,21,64,67,com,parent
3,22,64,67,com,parent
3,23,64,67,com,parent
4,24,64,67,com,parent
4,25,64,67,com,parent
4,26,64,67,com,parent
4,27,64,67,com,parent
5,28,64,67,com,parent
5,29,64,67,com,parent
5,30,64,67,com,parent
5,31,64,67,com,parent
6,32,64,67,com,parent
6,33,64,67,com,parent
6,34,64,67,com,parent
6,35,64,67,com,parent
6,36,64,67,com,parent
7,37,64,67,com,parent
7,38,64,67,com,parent
7,39,64,67,com,parent
7,40,64,67,com,parent
8,41,64,67,com,parent
8,42,64,67,com,parent
8,43,64,67,com,parent
8,44,64,67,com,parent
8,45,64,67,com,parent
9,46,64,67,com,parent
9,47,64,67,com,parent
9,48,64,67,com,parent
9,49,64,67,com,parent
10,50,64,67,com,parent
10,51,64,67,com,parent
10,52,64,67,com,parent
10,53,64,67,com,parent
11,54,64,67,com,parent
11,55,64,67,com,parent
12,56,64,67,com,parent
12,57,64,67,com,parent
12,58,64,67,com,parent
13,59,64,67,com,parent
