age_equ,score,for,type
<5.0,0,parent,hs
<5.0,1,parent,hs
<5.0,2,parent,hs
<5.0,3,parent,hs
<5.0,4,parent,hs
<5.0,5,parent,hs
<5.0,6,parent,hs
<5.0,7,parent,hs
<5.0,8,parent,hs
<5.0,9,parent,hs
<5.0,10,parent,hs
<5.0,11,parent,hs
<5.0,12,parent,hs
<5.0,13,parent,hs
<5.0,14,parent,hs
<5.0,15,parent,hs
<5.0,16,parent,hs
<5.0,17,parent,hs
<5.0,18,parent,hs
<5.0,19,parent,hs
<5.0,20,parent,hs
<5.0,21,parent,hs
<5.0,22,parent,hs
<5.0,23,parent,hs
<5.0,24,parent,hs
<5.0,25,parent,hs
<5.0,26,parent,hs
<5.0,27,parent,hs
<5.0,28,parent,hs
<5.0,29,parent,hs
<5.0,30,parent,hs
5.0-5.3,31,parent,hs
5.0-5.3,32,parent,hs
5.0-5.3,33,parent,hs
5.4-5.7,34,parent,hs
5.4-5.7,35,parent,hs
5.8-5.11,36,parent,hs
5.8-5.11,37,parent,hs
6.0-6.3,38,parent,hs
6.0-6.3,39,parent,hs
6.4-6.7,40,parent,hs
6.8-6.11,41,parent,hs
7.0-7.3,42,parent,hs
7.4-7.7,43,parent,hs
7.8-7.11,44,parent,hs
8.0-8.3,45,parent,hs
8.4-8.7,46,parent,hs
8.8-8.11,47,parent,hs
9.0-9.3,48,parent,hs
9.4-9.7,49,parent,hs
10.0-10.3,50,parent,hs
11.0-11.3,51,parent,hs
11.8-11.11,52,parent,hs
12.8-12.11,53,parent,hs
13.0-13.11,54,parent,hs
15.0-15.11,55,parent,hs
16.0-16.11,56,parent,hs
17.0-17.11,57,parent,hs
>21.11,58,parent,hs
>21.11,59,parent,hs
>21.11,60,parent,hs
