std_score,per_rank,value,min_age,max_age,for,type
65,1,41,0,3,parent,GAC
67,1,42,0,3,parent,GAC
68,2,43,0,3,parent,GAC
69,2,44,0,3,parent,GAC
70,2,45,0,3,parent,GAC
72,3,46,0,3,parent,GAC
73,4,47,0,3,parent,GAC
74,4,48,0,3,parent,GAC
76,5,49,0,3,parent,GAC
77,6,50,0,3,parent,GAC
78,7,51,0,3,parent,GAC
79,8,52,0,3,parent,GAC
81,10,53,0,3,parent,GAC
82,12,54,0,3,parent,GAC
83,13,55,0,3,parent,GAC
85,16,56,0,3,parent,GAC
86,18,57,0,3,parent,GAC
87,19,58,0,3,parent,GAC
88,21,59,0,3,parent,GAC
90,25,60,0,3,parent,GAC
91,27,61,0,3,parent,GAC
92,30,62,0,3,parent,GAC
94,34,63,0,3,parent,GAC
95,37,64,0,3,parent,GAC
96,39,65,0,3,parent,GAC
97,42,66,0,3,parent,GAC
99,47,67,0,3,parent,GAC
100,50,68,0,3,parent,GAC
101,53,69,0,3,parent,GAC
102,55,70,0,3,parent,GAC
103,58,71,0,3,parent,GAC
103,58,72,0,3,parent,GAC
104,61,73,0,3,parent,GAC
105,63,74,0,3,parent,GAC
106,66,75,0,3,parent,GAC
107,68,76,0,3,parent,GAC
108,70,77,0,3,parent,GAC
108,70,78,0,3,parent,GAC
109,73,79,0,3,parent,GAC
110,75,80,0,3,parent,GAC
111,77,81,0,3,parent,GAC
112,79,82,0,3,parent,GAC
113,81,83,0,3,parent,GAC
113,81,84,0,3,parent,GAC
114,82,85,0,3,parent,GAC
115,84,86,0,3,parent,GAC
116,86,87,0,3,parent,GAC
117,87,88,0,3,parent,GAC
118,88,89,0,3,parent,GAC
118,88,90,0,3,parent,GAC
119,90,91,0,3,parent,GAC
120,'>90',93,0,3,parent,GAC
120,'>90',94,0,3,parent,GAC
120,'>90',95,0,3,parent,GAC
120,'>90',96,0,3,parent,GAC
120,'>90',97,0,3,parent,GAC
120,'>90',98,0,3,parent,GAC
120,'>90',99,0,3,parent,GAC
120,'>90',100,0,3,parent,GAC
120,'>90',101,0,3,parent,GAC
120,'>90',102,0,3,parent,GAC
120,'>90',103,0,3,parent,GAC
120,'>90',104,0,3,parent,GAC
