scaled_score,raw_score,min_age,max_age,sub_domain,for
6,0,12,13,cu,parent
7,1,12,13,cu,parent
8,2,12,13,cu,parent
9,3,12,13,cu,parent
10,4,12,13,cu,parent
10,5,12,13,cu,parent
10,6,12,13,cu,parent
11,7,12,13,cu,parent
11,8,12,13,cu,parent
11,9,12,13,cu,parent
11,10,12,13,cu,parent
11,11,12,13,cu,parent
12,12,12,13,cu,parent
12,13,12,13,cu,parent
12,14,12,13,cu,parent
12,15,12,13,cu,parent
13,16,12,13,cu,parent
13,17,12,13,cu,parent
13,18,12,13,cu,parent
13,19,12,13,cu,parent
13,20,12,13,cu,parent
14,21,12,13,cu,parent
14,22,12,13,cu,parent
14,23,12,13,cu,parent
14,24,12,13,cu,parent
14,25,12,13,cu,parent
15,26,12,13,cu,parent
15,27,12,13,cu,parent
15,28,12,13,cu,parent
15,29,12,13,cu,parent
15,30,12,13,cu,parent
16,31,12,13,cu,parent
16,32,12,13,cu,parent
16,33,12,13,cu,parent
16,34,12,13,cu,parent
17,35,12,13,cu,parent
17,36,12,13,cu,parent
17,37,12,13,cu,parent
17,38,12,13,cu,parent
17,39,12,13,cu,parent
18,40,12,13,cu,parent
18,41,12,13,cu,parent
18,42,12,13,cu,parent
18,43,12,13,cu,parent
18,44,12,13,cu,parent
19,45,12,13,cu,parent
19,46,12,13,cu,parent
19,47,12,13,cu,parent
19,48,12,13,cu,parent
19,49,12,13,cu,parent
19,50,12,13,cu,parent
19,51,12,13,cu,parent
19,52,12,13,cu,parent
19,53,12,13,cu,parent
19,54,12,13,cu,parent
19,55,12,13,cu,parent
19,56,12,13,cu,parent
19,57,12,13,cu,parent
19,58,12,13,cu,parent
19,59,12,13,cu,parent
19,60,12,13,cu,parent
19,61,12,13,cu,parent
19,62,12,13,cu,parent
19,63,12,13,cu,parent
19,64,12,13,cu,parent
19,65,12,13,cu,parent
19,66,12,13,cu,parent
5,0,14,15,cu,parent
6,1,14,15,cu,parent
7,2,14,15,cu,parent
8,3,14,15,cu,parent
9,4,14,15,cu,parent
10,5,14,15,cu,parent
10,6,14,15,cu,parent
10,7,14,15,cu,parent
11,8,14,15,cu,parent
11,9,14,15,cu,parent
11,10,14,15,cu,parent
11,11,14,15,cu,parent
12,12,14,15,cu,parent
12,13,14,15,cu,parent
12,14,14,15,cu,parent
12,15,14,15,cu,parent
12,16,14,15,cu,parent
13,17,14,15,cu,parent
13,18,14,15,cu,parent
13,19,14,15,cu,parent
13,20,14,15,cu,parent
13,21,14,15,cu,parent
14,22,14,15,cu,parent
14,23,14,15,cu,parent
14,24,14,15,cu,parent
14,25,14,15,cu,parent
15,26,14,15,cu,parent
15,27,14,15,cu,parent
15,28,14,15,cu,parent
15,29,14,15,cu,parent
15,30,14,15,cu,parent
16,31,14,15,cu,parent
16,32,14,15,cu,parent
16,33,14,15,cu,parent
16,34,14,15,cu,parent
16,35,14,15,cu,parent
17,36,14,15,cu,parent
17,37,14,15,cu,parent
17,38,14,15,cu,parent
17,39,14,15,cu,parent
18,40,14,15,cu,parent
18,41,14,15,cu,parent
18,42,14,15,cu,parent
18,43,14,15,cu,parent
18,44,14,15,cu,parent
19,45,14,15,cu,parent
19,46,14,15,cu,parent
19,47,14,15,cu,parent
19,48,14,15,cu,parent
19,49,14,15,cu,parent
19,50,14,15,cu,parent
19,51,14,15,cu,parent
19,52,14,15,cu,parent
19,53,14,15,cu,parent
19,54,14,15,cu,parent
19,55,14,15,cu,parent
19,56,14,15,cu,parent
19,57,14,15,cu,parent
19,58,14,15,cu,parent
19,59,14,15,cu,parent
19,60,14,15,cu,parent
19,61,14,15,cu,parent
19,62,14,15,cu,parent
19,63,14,15,cu,parent
19,64,14,15,cu,parent
19,65,14,15,cu,parent
19,66,14,15,cu,parent
4,0,16,17,cu,parent
5,1,16,17,cu,parent
5,2,16,17,cu,parent
6,3,16,17,cu,parent
7,4,16,17,cu,parent
8,5,16,17,cu,parent
8,6,16,17,cu,parent
9,7,16,17,cu,parent
10,8,16,17,cu,parent
10,9,16,17,cu,parent
10,10,16,17,cu,parent
11,11,16,17,cu,parent
11,12,16,17,cu,parent
11,13,16,17,cu,parent
11,14,16,17,cu,parent
12,15,16,17,cu,parent
12,16,16,17,cu,parent
12,17,16,17,cu,parent
12,18,16,17,cu,parent
12,19,16,17,cu,parent
13,20,16,17,cu,parent
13,21,16,17,cu,parent
13,22,16,17,cu,parent
13,23,16,17,cu,parent
14,24,16,17,cu,parent
14,25,16,17,cu,parent
14,26,16,17,cu,parent
14,27,16,17,cu,parent
14,28,16,17,cu,parent
15,29,16,17,cu,parent
15,30,16,17,cu,parent
15,31,16,17,cu,parent
15,32,16,17,cu,parent
16,33,16,17,cu,parent
16,34,16,17,cu,parent
16,35,16,17,cu,parent
16,36,16,17,cu,parent
16,37,16,17,cu,parent
17,38,16,17,cu,parent
17,39,16,17,cu,parent
17,40,16,17,cu,parent
17,41,16,17,cu,parent
18,42,16,17,cu,parent
18,43,16,17,cu,parent
18,44,16,17,cu,parent
18,45,16,17,cu,parent
18,46,16,17,cu,parent
19,47,16,17,cu,parent
19,48,16,17,cu,parent
19,49,16,17,cu,parent
19,50,16,17,cu,parent
19,51,16,17,cu,parent
19,52,16,17,cu,parent
19,53,16,17,cu,parent
19,54,16,17,cu,parent
19,55,16,17,cu,parent
19,56,16,17,cu,parent
19,57,16,17,cu,parent
19,58,16,17,cu,parent
19,59,16,17,cu,parent
19,60,16,17,cu,parent
19,61,16,17,cu,parent
19,62,16,17,cu,parent
19,63,16,17,cu,parent
19,64,16,17,cu,parent
19,65,16,17,cu,parent
19,66,16,17,cu,parent
4,0,18,19,cu,parent
4,1,18,19,cu,parent
5,2,18,19,cu,parent
5,3,18,19,cu,parent
6,4,18,19,cu,parent
6,5,18,19,cu,parent
7,6,18,19,cu,parent
8,7,18,19,cu,parent
8,8,18,19,cu,parent
9,9,18,19,cu,parent
9,10,18,19,cu,parent
10,11,18,19,cu,parent
10,12,18,19,cu,parent
10,13,18,19,cu,parent
11,14,18,19,cu,parent
11,15,18,19,cu,parent
11,16,18,19,cu,parent
11,17,18,19,cu,parent
11,18,18,19,cu,parent
12,19,18,19,cu,parent
12,20,18,19,cu,parent
12,21,18,19,cu,parent
12,22,18,19,cu,parent
13,23,18,19,cu,parent
13,24,18,19,cu,parent
13,25,18,19,cu,parent
13,26,18,19,cu,parent
14,27,18,19,cu,parent
14,28,18,19,cu,parent
14,29,18,19,cu,parent
14,30,18,19,cu,parent
15,31,18,19,cu,parent
15,32,18,19,cu,parent
15,33,18,19,cu,parent
15,34,18,19,cu,parent
15,35,18,19,cu,parent
16,36,18,19,cu,parent
16,37,18,19,cu,parent
16,38,18,19,cu,parent
16,39,18,19,cu,parent
17,40,18,19,cu,parent
17,41,18,19,cu,parent
17,42,18,19,cu,parent
17,43,18,19,cu,parent
18,44,18,19,cu,parent
18,45,18,19,cu,parent
18,46,18,19,cu,parent
18,47,18,19,cu,parent
18,48,18,19,cu,parent
19,49,18,19,cu,parent
19,50,18,19,cu,parent
19,51,18,19,cu,parent
