scaled_score,raw_score,min_age,max_age,sub_domain,for
7,0,12,13,fa,parent
8,1,12,13,fa,parent
8,2,12,13,fa,parent
9,3,12,13,fa,parent
10,4,12,13,fa,parent
10,5,12,13,fa,parent
11,6,12,13,fa,parent
11,7,12,13,fa,parent
11,8,12,13,fa,parent
11,9,12,13,fa,parent
12,10,12,13,fa,parent
12,11,12,13,fa,parent
12,12,12,13,fa,parent
13,13,12,13,fa,parent
13,14,12,13,fa,parent
13,15,12,13,fa,parent
13,16,12,13,fa,parent
14,17,12,13,fa,parent
14,18,12,13,fa,parent
14,19,12,13,fa,parent
14,20,12,13,fa,parent
15,21,12,13,fa,parent
15,22,12,13,fa,parent
15,23,12,13,fa,parent
16,24,12,13,fa,parent
16,25,12,13,fa,parent
16,26,12,13,fa,parent
16,27,12,13,fa,parent
17,28,12,13,fa,parent
17,29,12,13,fa,parent
17,30,12,13,fa,parent
18,31,12,13,fa,parent
18,32,12,13,fa,parent
18,33,12,13,fa,parent
18,34,12,13,fa,parent
19,35,12,13,fa,parent
19,36,12,13,fa,parent
19,37,12,13,fa,parent
19,38,12,13,fa,parent
19,39,12,13,fa,parent
19,40,12,13,fa,parent
19,41,12,13,fa,parent
19,42,12,13,fa,parent
19,43,12,13,fa,parent
19,44,12,13,fa,parent
19,45,12,13,fa,parent
19,46,12,13,fa,parent
19,47,12,13,fa,parent
19,48,12,13,fa,parent
19,49,12,13,fa,parent
19,50,12,13,fa,parent
19,51,12,13,fa,parent
19,52,12,13,fa,parent
19,53,12,13,fa,parent
19,54,12,13,fa,parent
19,55,12,13,fa,parent
19,56,12,13,fa,parent
19,57,12,13,fa,parent
19,58,12,13,fa,parent
19,59,12,13,fa,parent
19,60,12,13,fa,parent
19,61,12,13,fa,parent
19,62,12,13,fa,parent
19,63,12,13,fa,parent
19,64,12,13,fa,parent
19,65,12,13,fa,parent
19,66,12,13,fa,parent
19,67,12,13,fa,parent
19,68,12,13,fa,parent
19,69,12,13,fa,parent
19,70,12,13,fa,parent
19,71,12,13,fa,parent
19,72,12,13,fa,parent
7,0,14,15,fa,parent
7,1,14,15,fa,parent
8,2,14,15,fa,parent
9,3,14,15,fa,parent
10,4,14,15,fa,parent
10,5,14,15,fa,parent
10,6,14,15,fa,parent
11,7,14,15,fa,parent
11,8,14,15,fa,parent
11,9,14,15,fa,parent
12,10,14,15,fa,parent
12,11,14,15,fa,parent
12,12,14,15,fa,parent
12,13,14,15,fa,parent
13,14,14,15,fa,parent
13,15,14,15,fa,parent
13,16,14,15,fa,parent
14,17,14,15,fa,parent
14,18,14,15,fa,parent
14,19,14,15,fa,parent
14,20,14,15,fa,parent
15,21,14,15,fa,parent
15,22,14,15,fa,parent
15,23,14,15,fa,parent
16,24,14,15,fa,parent
16,25,14,15,fa,parent
16,26,14,15,fa,parent
16,27,14,15,fa,parent
17,28,14,15,fa,parent
17,29,14,15,fa,parent
17,30,14,15,fa,parent
18,31,14,15,fa,parent
18,32,14,15,fa,parent
18,33,14,15,fa,parent
18,34,14,15,fa,parent
19,35,14,15,fa,parent
19,36,14,15,fa,parent
19,37,14,15,fa,parent
19,38,14,15,fa,parent
19,39,14,15,fa,parent
19,40,14,15,fa,parent
19,41,14,15,fa,parent
19,42,14,15,fa,parent
19,43,14,15,fa,parent
19,44,14,15,fa,parent
19,45,14,15,fa,parent
19,46,14,15,fa,parent
19,47,14,15,fa,parent
19,48,14,15,fa,parent
19,49,14,15,fa,parent
19,50,14,15,fa,parent
19,51,14,15,fa,parent
19,52,14,15,fa,parent
19,53,14,15,fa,parent
19,54,14,15,fa,parent
19,55,14,15,fa,parent
19,56,14,15,fa,parent
19,57,14,15,fa,parent
19,58,14,15,fa,parent
19,59,14,15,fa,parent
19,60,14,15,fa,parent
19,61,14,15,fa,parent
19,62,14,15,fa,parent
19,63,14,15,fa,parent
19,64,14,15,fa,parent
19,65,14,15,fa,parent
19,66,14,15,fa,parent
19,67,14,15,fa,parent
19,68,14,15,fa,parent
19,69,14,15,fa,parent
19,70,14,15,fa,parent
19,71,14,15,fa,parent
19,72,14,15,fa,parent
6,0,16,17,fa,parent
7,1,16,17,fa,parent
8,2,16,17,fa,parent
8,3,16,17,fa,parent
9,4,16,17,fa,parent
10,5,16,17,fa,parent
10,6,16,17,fa,parent
10,7,16,17,fa,parent
11,8,16,17,fa,parent
11,9,16,17,fa,parent
11,10,16,17,fa,parent
12,11,16,17,fa,parent
12,12,16,17,fa,parent
12,13,16,17,fa,parent
13,14,16,17,fa,parent
13,15,16,17,fa,parent
13,16,16,17,fa,parent
13,17,16,17,fa,parent
14,18,16,17,fa,parent
14,19,16,17,fa,parent
14,20,16,17,fa,parent
15,21,16,17,fa,parent
15,22,16,17,fa,parent
15,23,16,17,fa,parent
15,24,16,17,fa,parent
16,25,16,17,fa,parent
16,26,16,17,fa,parent
16,27,16,17,fa,parent
17,28,16,17,fa,parent
17,29,16,17,fa,parent
17,30,16,17,fa,parent
17,31,16,17,fa,parent
18,32,16,17,fa,parent
18,33,16,17,fa,parent
18,34,16,17,fa,parent
19,35,16,17,fa,parent
19,36,16,17,fa,parent
19,37,16,17,fa,parent
19,38,16,17,fa,parent
19,39,16,17,fa,parent
19,40,16,17,fa,parent
19,41,16,17,fa,parent
19,42,16,17,fa,parent
19,43,16,17,fa,parent
19,44,16,17,fa,parent
19,45,16,17,fa,parent
19,46,16,17,fa,parent
19,47,16,17,fa,parent
19,48,16,17,fa,parent
19,49,16,17,fa,parent
19,50,16,17,fa,parent
19,51,16,17,fa,parent
19,52,16,17,fa,parent
19,53,16,17,fa,parent
19,54,16,17,fa,parent
19,55,16,17,fa,parent
19,56,16,17,fa,parent
19,57,16,17,fa,parent
19,58,16,17,fa,parent
19,59,16,17,fa,parent
19,60,16,17,fa,parent
19,61,16,17,fa,parent
19,62,16,17,fa,parent
19,63,16,17,fa,parent
19,64,16,17,fa,parent
19,65,16,17,fa,parent
19,66,16,17,fa,parent
19,67,16,17,fa,parent
19,68,16,17,fa,parent
19,69,16,17,fa,parent
19,70,16,17,fa,parent
19,71,16,17,fa,parent
19,72,16,17,fa,parent
6,0,18,19,fa,parent
6,1,18,19,fa,parent
7,2,18,19,fa,parent
8,3,18,19,fa,parent
8,4,18,19,fa,parent
9,5,18,19,fa,parent
9,6,18,19,fa,parent
10,7,18,19,fa,parent
10,8,18,19,fa,parent
10,9,18,19,fa,parent
11,10,18,19,fa,parent
11,11,18,19,fa,parent
11,12,18,19,fa,parent
12,13,18,19,fa,parent
12,14,18,19,fa,parent
12,15,18,19,fa,parent
13,16,18,19,fa,parent
13,17,18,19,fa,parent
13,18,18,19,fa,parent
13,19,18,19,fa,parent
14,20,18,19,fa,parent
14,21,18,19,fa,parent
14,22,18,19,fa,parent
15,23,18,19,fa,parent
15,24,18,19,fa,parent
15,25,18,19,fa,parent
16,26,18,19,fa,parent
16,27,18,19,fa,parent
16,28,18,19,fa,parent
17,29,18,19,fa,parent
17,30,18,19,fa,parent
17,31,18,19,fa,parent
17,32,18,19,fa,parent
18,33,18,19,fa,parent
18,34,18,19,fa,parent
18,35,18,19,fa,parent
19,36,18,19,fa,parent
19,37,18,19,fa,parent
19,38,18,19,fa,parent
19,39,18,19,fa,parent
19,40,18,19,fa,parent
