scaled_score,raw_score,min_age,max_age,sub_domain,for
7,0,0,0,hs,parent
7,1,0,0,hs,parent
8,2,0,0,hs,parent
9,3,0,0,hs,parent
10,4,0,0,hs,parent
11,5,0,0,hs,parent
12,6,0,0,hs,parent
14,7,0,0,hs,parent
16,8,0,0,hs,parent
18,9,0,0,hs,parent
19,10,0,0,hs,parent
19,11,0,0,hs,parent
19,12,0,0,hs,parent
19,13,0,0,hs,parent
19,14,0,0,hs,parent
19,15,0,0,hs,parent
19,16,0,0,hs,parent
19,17,0,0,hs,parent
19,18,0,0,hs,parent
19,19,0,0,hs,parent
19,20,0,0,hs,parent
19,21,0,0,hs,parent
19,22,0,0,hs,parent
19,23,0,0,hs,parent
19,24,0,0,hs,parent
19,25,0,0,hs,parent
19,26,0,0,hs,parent
19,27,0,0,hs,parent
19,28,0,0,hs,parent
19,29,0,0,hs,parent
19,30,0,0,hs,parent
19,31,0,0,hs,parent
19,32,0,0,hs,parent
19,33,0,0,hs,parent
19,34,0,0,hs,parent
19,35,0,0,hs,parent
19,36,0,0,hs,parent
19,37,0,0,hs,parent
19,38,0,0,hs,parent
19,39,0,0,hs,parent
19,40,0,0,hs,parent
19,41,0,0,hs,parent
19,42,0,0,hs,parent
19,43,0,0,hs,parent
19,44,0,0,hs,parent
19,45,0,0,hs,parent
19,46,0,0,hs,parent
19,47,0,0,hs,parent
19,48,0,0,hs,parent
19,49,0,0,hs,parent
19,50,0,0,hs,parent
19,51,0,0,hs,parent
19,52,0,0,hs,parent
19,53,0,0,hs,parent
19,54,0,0,hs,parent
19,55,0,0,hs,parent
19,56,0,0,hs,parent
19,57,0,0,hs,parent
19,58,0,0,hs,parent
19,59,0,0,hs,parent
19,60,0,0,hs,parent
19,61,0,0,hs,parent
19,62,0,0,hs,parent
19,63,0,0,hs,parent
19,64,0,0,hs,parent
19,65,0,0,hs,parent
19,66,0,0,hs,parent
7,0,1,1,hs,parent
7,1,1,1,hs,parent
8,2,1,1,hs,parent
9,3,1,1,hs,parent
9,4,1,1,hs,parent
10,5,1,1,hs,parent
11,6,1,1,hs,parent
13,7,1,1,hs,parent
14,8,1,1,hs,parent
15,9,1,1,hs,parent
16,10,1,1,hs,parent
18,11,1,1,hs,parent
19,12,1,1,hs,parent
19,13,1,1,hs,parent
19,14,1,1,hs,parent
19,15,1,1,hs,parent
19,16,1,1,hs,parent
19,17,1,1,hs,parent
19,18,1,1,hs,parent
19,19,1,1,hs,parent
19,20,1,1,hs,parent
19,21,1,1,hs,parent
19,22,1,1,hs,parent
19,23,1,1,hs,parent
19,24,1,1,hs,parent
19,25,1,1,hs,parent
19,26,1,1,hs,parent
19,27,1,1,hs,parent
19,28,1,1,hs,parent
19,29,1,1,hs,parent
19,30,1,1,hs,parent
19,31,1,1,hs,parent
19,32,1,1,hs,parent
19,33,1,1,hs,parent
19,34,1,1,hs,parent
19,35,1,1,hs,parent
19,36,1,1,hs,parent
19,37,1,1,hs,parent
19,38,1,1,hs,parent
19,39,1,1,hs,parent
19,40,1,1,hs,parent
19,41,1,1,hs,parent
19,42,1,1,hs,parent
19,43,1,1,hs,parent
19,44,1,1,hs,parent
19,45,1,1,hs,parent
19,46,1,1,hs,parent
19,47,1,1,hs,parent
19,48,1,1,hs,parent
19,49,1,1,hs,parent
19,50,1,1,hs,parent
19,51,1,1,hs,parent
19,52,1,1,hs,parent
19,53,1,1,hs,parent
19,54,1,1,hs,parent
19,55,1,1,hs,parent
19,56,1,1,hs,parent
19,57,1,1,hs,parent
19,58,1,1,hs,parent
19,59,1,1,hs,parent
19,60,1,1,hs,parent
19,61,1,1,hs,parent
19,62,1,1,hs,parent
19,63,1,1,hs,parent
19,64,1,1,hs,parent
19,65,1,1,hs,parent
19,66,1,1,hs,parent
7,0,2,2,hs,parent
7,1,2,2,hs,parent
8,2,2,2,hs,parent
9,3,2,2,hs,parent
9,4,2,2,hs,parent
10,5,2,2,hs,parent
11,6,2,2,hs,parent
12,7,2,2,hs,parent
13,8,2,2,hs,parent
14,9,2,2,hs,parent
15,10,2,2,hs,parent
16,11,2,2,hs,parent
17,12,2,2,hs,parent
18,13,2,2,hs,parent
19,14,2,2,hs,parent
19,15,2,2,hs,parent
19,16,2,2,hs,parent
19,17,2,2,hs,parent
19,18,2,2,hs,parent
19,19,2,2,hs,parent
19,20,2,2,hs,parent
19,21,2,2,hs,parent
19,22,2,2,hs,parent
19,23,2,2,hs,parent
19,24,2,2,hs,parent
19,25,2,2,hs,parent
19,26,2,2,hs,parent
19,27,2,2,hs,parent
19,28,2,2,hs,parent
19,29,2,2,hs,parent
19,30,2,2,hs,parent
19,31,2,2,hs,parent
19,32,2,2,hs,parent
19,33,2,2,hs,parent
19,34,2,2,hs,parent
19,35,2,2,hs,parent
19,36,2,2,hs,parent
19,37,2,2,hs,parent
19,38,2,2,hs,parent
19,39,2,2,hs,parent
19,40,2,2,hs,parent
19,41,2,2,hs,parent
19,42,2,2,hs,parent
19,43,2,2,hs,parent
19,44,2,2,hs,parent
