scaled_score,raw_score,min_age,max_age,sub_domain,for
7,0,0,0,mo,parent
8,1,0,0,mo,parent
9,2,0,0,mo,parent
10,3,0,0,mo,parent
10,4,0,0,mo,parent
11,5,0,0,mo,parent
11,6,0,0,mo,parent
11,7,0,0,mo,parent
11,8,0,0,mo,parent
12,9,0,0,mo,parent
12,10,0,0,mo,parent
12,11,0,0,mo,parent
12,12,0,0,mo,parent
13,13,0,0,mo,parent
13,14,0,0,mo,parent
13,15,0,0,mo,parent
13,16,0,0,mo,parent
14,17,0,0,mo,parent
14,18,0,0,mo,parent
14,19,0,0,mo,parent
15,20,0,0,mo,parent
15,21,0,0,mo,parent
15,22,0,0,mo,parent
15,23,0,0,mo,parent
16,24,0,0,mo,parent
16,25,0,0,mo,parent
16,26,0,0,mo,parent
16,27,0,0,mo,parent
17,28,0,0,mo,parent
17,29,0,0,mo,parent
17,30,0,0,mo,parent
17,31,0,0,mo,parent
18,32,0,0,mo,parent
18,33,0,0,mo,parent
18,34,0,0,mo,parent
19,35,0,0,mo,parent
19,36,0,0,mo,parent
19,37,0,0,mo,parent
19,38,0,0,mo,parent
19,39,0,0,mo,parent
19,40,0,0,mo,parent
19,41,0,0,mo,parent
19,42,0,0,mo,parent
19,43,0,0,mo,parent
19,44,0,0,mo,parent
19,45,0,0,mo,parent
19,46,0,0,mo,parent
19,47,0,0,mo,parent
19,48,0,0,mo,parent
19,49,0,0,mo,parent
19,50,0,0,mo,parent
19,51,0,0,mo,parent
19,52,0,0,mo,parent
19,53,0,0,mo,parent
19,54,0,0,mo,parent
19,55,0,0,mo,parent
19,56,0,0,mo,parent
19,57,0,0,mo,parent
19,58,0,0,mo,parent
19,59,0,0,mo,parent
19,60,0,0,mo,parent
19,61,0,0,mo,parent
19,62,0,0,mo,parent
19,63,0,0,mo,parent
19,64,0,0,mo,parent
19,65,0,0,mo,parent
19,66,0,0,mo,parent
19,67,0,0,mo,parent
19,68,0,0,mo,parent
19,69,0,0,mo,parent
19,70,0,0,mo,parent
19,71,0,0,mo,parent
19,72,0,0,mo,parent
19,73,0,0,mo,parent
19,74,0,0,mo,parent
19,75,0,0,mo,parent
19,76,0,0,mo,parent
19,77,0,0,mo,parent
19,78,0,0,mo,parent
6,0,1,1,mo,parent
7,1,1,1,mo,parent
8,2,1,1,mo,parent
9,3,1,1,mo,parent
