scaled_score,raw_score,min_age,max_age,sub_domain,for
1,0,204,252,wk,parent
1,1,204,252,wk,parent
1,2,204,252,wk,parent
1,3,204,252,wk,parent
1,4,204,252,wk,parent
1,5,204,252,wk,parent
1,6,204,252,wk,parent
1,7,204,252,wk,parent
1,8,204,252,wk,parent
1,9,204,252,wk,parent
1,10,204,252,wk,parent
1,11,204,252,wk,parent
1,12,204,252,wk,parent
1,13,204,252,wk,parent
1,14,204,252,wk,parent
1,15,204,252,wk,parent
1,16,204,252,wk,parent
1,17,204,252,wk,parent
1,18,204,252,wk,parent
1,19,204,252,wk,parent
1,20,204,252,wk,parent
1,21,204,252,wk,parent
1,22,204,252,wk,parent
1,23,204,252,wk,parent
1,24,204,252,wk,parent
1,25,204,252,wk,parent
1,26,204,252,wk,parent
1,27,204,252,wk,parent
1,28,204,252,wk,parent
1,29,204,252,wk,parent
1,30,204,252,wk,parent
1,31,204,252,wk,parent
1,32,204,252,wk,parent
2,33,204,252,wk,parent
2,34,204,252,wk,parent
2,35,204,252,wk,parent
3,36,204,252,wk,parent
3,37,204,252,wk,parent
3,38,204,252,wk,parent
3,39,204,252,wk,parent
4,40,204,252,wk,parent
4,41,204,252,wk,parent
4,42,204,252,wk,parent
5,43,204,252,wk,parent
5,44,204,252,wk,parent
5,45,204,252,wk,parent
6,46,204,252,wk,parent
6,47,204,252,wk,parent
6,48,204,252,wk,parent
7,49,204,252,wk,parent
7,50,204,252,wk,parent
7,51,204,252,wk,parent
7,52,204,252,wk,parent
8,53,204,252,wk,parent
8,54,204,252,wk,parent
8,55,204,252,wk,parent
9,56,204,252,wk,parent
9,57,204,252,wk,parent
9,58,204,252,wk,parent
10,59,204,252,wk,parent
10,60,204,252,wk,parent
11,61,204,252,wk,parent
12,62,204,252,wk,parent
14,63,204,252,wk,parent
