std_score,per_rank,value,min_age,max_age,for,type
51,0.1,13,24,29,teacher_caregiver,GAC
51,0.1,14,24,29,teacher_caregiver,GAC
52,0.1,15,24,29,teacher_caregiver,GAC
53,0.1,16,24,29,teacher_caregiver,GAC
53,0.1,17,24,29,teacher_caregiver,GAC
54,0.1,18,24,29,teacher_caregiver,GAC
54,0.1,19,24,29,teacher_caregiver,GAC
55,0.1,20,24,29,teacher_caregiver,GAC
56,0.2,21,24,29,teacher_caregiver,GAC
56,0.2,22,24,29,teacher_caregiver,GAC
57,0.2,23,24,29,teacher_caregiver,GAC
57,0.2,24,24,29,teacher_caregiver,GAC
58,0.3,25,24,29,teacher_caregiver,GAC
59,0.3,26,24,29,teacher_caregiver,GAC
59,0.3,27,24,29,teacher_caregiver,GAC
60,0.4,28,24,29,teacher_caregiver,GAC
60,0.4,29,24,29,teacher_caregiver,GAC
61,0.5,30,24,29,teacher_caregiver,GAC
62,1,31,24,29,teacher_caregiver,GAC
62,1,32,24,29,teacher_caregiver,GAC
63,1,33,24,29,teacher_caregiver,GAC
63,1,34,24,29,teacher_caregiver,GAC
64,1,35,24,29,teacher_caregiver,GAC
65,1,36,24,29,teacher_caregiver,GAC
65,1,37,24,29,teacher_caregiver,GAC
66,1,38,24,29,teacher_caregiver,GAC
67,1,39,24,29,teacher_caregiver,GAC
67,1,40,24,29,teacher_caregiver,GAC
68,2,41,24,29,teacher_caregiver,GAC
68,2,42,24,29,teacher_caregiver,GAC
69,2,43,24,29,teacher_caregiver,GAC
70,2,44,24,29,teacher_caregiver,GAC
70,2,45,24,29,teacher_caregiver,GAC
71,3,46,24,29,teacher_caregiver,GAC
71,3,47,24,29,teacher_caregiver,GAC
72,3,48,24,29,teacher_caregiver,GAC
73,4,49,24,29,teacher_caregiver,GAC
73,4,50,24,29,teacher_caregiver,GAC
74,4,51,24,29,teacher_caregiver,GAC
74,4,52,24,29,teacher_caregiver,GAC
75,5,53,24,29,teacher_caregiver,GAC
76,5,54,24,29,teacher_caregiver,GAC
76,5,55,24,29,teacher_caregiver,GAC
77,6,56,24,29,teacher_caregiver,GAC
77,6,57,24,29,teacher_caregiver,GAC
78,7,58,24,29,teacher_caregiver,GAC
79,8,59,24,29,teacher_caregiver,GAC
79,8,60,24,29,teacher_caregiver,GAC
80,9,61,24,29,teacher_caregiver,GAC
80,9,62,24,29,teacher_caregiver,GAC
81,10,36,24,29,teacher_caregiver,GAC
82,12,64,24,29,teacher_caregiver,GAC
82,12,65,24,29,teacher_caregiver,GAC
83,13,66,24,29,teacher_caregiver,GAC
83,13,67,24,29,teacher_caregiver,GAC
84,14,68,24,29,teacher_caregiver,GAC
85,16,69,24,29,teacher_caregiver,GAC
85,16,70,24,29,teacher_caregiver,GAC
86,18,71,24,29,teacher_caregiver,GAC
86,18,72,24,29,teacher_caregiver,GAC
87,19,73,24,29,teacher_caregiver,GAC
88,21,74,24,29,teacher_caregiver,GAC
88,21,75,24,29,teacher_caregiver,GAC
89,23,76,24,29,teacher_caregiver,GAC
90,25,77,24,29,teacher_caregiver,GAC
90,25,78,24,29,teacher_caregiver,GAC
91,27,79,24,29,teacher_caregiver,GAC
91,27,80,24,29,teacher_caregiver,GAC
92,30,81,24,29,teacher_caregiver,GAC
93,32,82,24,29,teacher_caregiver,GAC
93,32,83,24,29,teacher_caregiver,GAC
94,34,84,24,29,teacher_caregiver,GAC
94,34,85,24,29,teacher_caregiver,GAC
95,37,86,24,29,teacher_caregiver,GAC
96,39,87,24,29,teacher_caregiver,GAC
96,39,88,24,29,teacher_caregiver,GAC
97,42,89,24,29,teacher_caregiver,GAC
97,42,90,24,29,teacher_caregiver,GAC
98,45,91,24,29,teacher_caregiver,GAC
99,47,92,24,29,teacher_caregiver,GAC
99,47,93,24,29,teacher_caregiver,GAC
100,50,94,24,29,teacher_caregiver,GAC
101,53,95,24,29,teacher_caregiver,GAC
101,53,96,24,29,teacher_caregiver,GAC
102,55,97,24,29,teacher_caregiver,GAC
103,58,98,24,29,teacher_caregiver,GAC
103,58,99,24,29,teacher_caregiver,GAC
104,61,100,24,29,teacher_caregiver,GAC
105,63,101,24,29,teacher_caregiver,GAC
106,66,102,24,29,teacher_caregiver,GAC
106,66,103,24,29,teacher_caregiver,GAC
107,68,104,24,29,teacher_caregiver,GAC
108,70,105,24,29,teacher_caregiver,GAC
109,73,106,24,29,teacher_caregiver,GAC
109,73,107,24,29,teacher_caregiver,GAC
110,75,108,24,29,teacher_caregiver,GAC
111,77,109,24,29,teacher_caregiver,GAC
112,79,110,24,29,teacher_caregiver,GAC
112,79,111,24,29,teacher_caregiver,GAC
113,81,112,24,29,teacher_caregiver,GAC
114,82,113,24,29,teacher_caregiver,GAC
115,84,114,24,29,teacher_caregiver,GAC
115,84,115,24,29,teacher_caregiver,GAC
116,86,116,24,29,teacher_caregiver,GAC
117,87,117,24,29,teacher_caregiver,GAC
117,87,118,24,29,teacher_caregiver,GAC
118,88,119,24,29,teacher_caregiver,GAC
119,90,120,24,29,teacher_caregiver,GAC
120,>90,121,24,29,teacher_caregiver,GAC
120,>90,122,24,29,teacher_caregiver,GAC
120,>90,123,24,29,teacher_caregiver,GAC
120,>90,124,24,29,teacher_caregiver,GAC
120,>90,125,24,29,teacher_caregiver,GAC
120,>90,126,24,29,teacher_caregiver,GAC
120,>90,127,24,29,teacher_caregiver,GAC
120,>90,128,24,29,teacher_caregiver,GAC
120,>90,129,24,29,teacher_caregiver,GAC
120,>90,130,24,29,teacher_caregiver,GAC
120,>90,131,24,29,teacher_caregiver,GAC
120,>90,132,24,29,teacher_caregiver,GAC
120,>90,133,24,29,teacher_caregiver,GAC
120,>90,134,24,29,teacher_caregiver,GAC
120,>90,135,24,29,teacher_caregiver,GAC
120,>90,136,24,29,teacher_caregiver,GAC
120,>90,137,24,29,teacher_caregiver,GAC
120,>90,138,24,29,teacher_caregiver,GAC
120,>90,139,24,29,teacher_caregiver,GAC
120,>90,140,24,29,teacher_caregiver,GAC
120,>90,141,24,29,teacher_caregiver,GAC
120,>90,142,24,29,teacher_caregiver,GAC
120,>90,143,24,29,teacher_caregiver,GAC
120,>90,144,24,29,teacher_caregiver,GAC
120,>90,145,24,29,teacher_caregiver,GAC
120,>90,146,24,29,teacher_caregiver,GAC
120,>90,147,24,29,teacher_caregiver,GAC
120,>90,148,24,29,teacher_caregiver,GAC
120,>90,149,24,29,teacher_caregiver,GAC
120,>90,150,24,29,teacher_caregiver,GAC
120,>90,151,24,29,teacher_caregiver,GAC
120,>90,152,24,29,teacher_caregiver,GAC
120,>90,153,24,29,teacher_caregiver,GAC
120,>90,154,24,29,teacher_caregiver,GAC
120,>90,155,24,29,teacher_caregiver,GAC
120,>90,156,24,29,teacher_caregiver,GAC
120,>90,157,24,29,teacher_caregiver,GAC
120,>90,158,24,29,teacher_caregiver,GAC
120,>90,159,24,29,teacher_caregiver,GAC
120,>90,160,24,29,teacher_caregiver,GAC
120,>90,161,24,29,teacher_caregiver,GAC
120,>90,162,24,29,teacher_caregiver,GAC
120,>90,163,24,29,teacher_caregiver,GAC
120,>90,164,24,29,teacher_caregiver,GAC
120,>90,165,24,29,teacher_caregiver,GAC
47,<0.1,9,30,35,teacher_caregiver,GAC
48,<0.1,10,30,35,teacher_caregiver,GAC
48,<0.1,11,30,35,teacher_caregiver,GAC
49,<0.1,12,30,35,teacher_caregiver,GAC
49,<0.1,13,30,35,teacher_caregiver,GAC
50,<0.1,14,30,35,teacher_caregiver,GAC
51,0.1,15,30,35,teacher_caregiver,GAC
51,0.1,16,30,35,teacher_caregiver,GAC
52,0.1,17,30,35,teacher_caregiver,GAC
53,0.1,18,30,35,teacher_caregiver,GAC
53,0.1,19,30,35,teacher_caregiver,GAC
54,0.1,20,30,35,teacher_caregiver,GAC
54,0.1,21,30,35,teacher_caregiver,GAC
55,0.1,22,30,35,teacher_caregiver,GAC
56,0.2,23,30,35,teacher_caregiver,GAC
56,0.2,24,30,35,teacher_caregiver,GAC
57,0.2,25,30,35,teacher_caregiver,GAC
57,0.2,26,30,35,teacher_caregiver,GAC
58,0.3,27,30,35,teacher_caregiver,GAC
59,0.3,28,30,35,teacher_caregiver,GAC
59,0.3,29,30,35,teacher_caregiver,GAC
60,0.4,30,30,35,teacher_caregiver,GAC
61,0.5,31,30,35,teacher_caregiver,GAC
61,0.5,32,30,35,teacher_caregiver,GAC
62,1,33,30,35,teacher_caregiver,GAC
62,1,34,30,35,teacher_caregiver,GAC
63,1,35,30,35,teacher_caregiver,GAC
64,1,36,30,35,teacher_caregiver,GAC
64,1,37,30,35,teacher_caregiver,GAC
65,1,38,30,35,teacher_caregiver,GAC
65,1,39,30,35,teacher_caregiver,GAC
66,1,40,30,35,teacher_caregiver,GAC
67,1,41,30,35,teacher_caregiver,GAC
67,1,42,30,35,teacher_caregiver,GAC
68,2,43,30,35,teacher_caregiver,GAC
69,2,44,30,35,teacher_caregiver,GAC
69,2,45,30,35,teacher_caregiver,GAC
70,2,46,30,35,teacher_caregiver,GAC
70,2,47,30,35,teacher_caregiver,GAC
71,3,48,30,35,teacher_caregiver,GAC
72,3,49,30,35,teacher_caregiver,GAC
72,3,50,30,35,teacher_caregiver,GAC
73,4,51,30,35,teacher_caregiver,GAC
73,4,52,30,35,teacher_caregiver,GAC
74,4,53,30,35,teacher_caregiver,GAC
75,5,54,30,35,teacher_caregiver,GAC
75,5,55,30,35,teacher_caregiver,GAC
76,5,56,30,35,teacher_caregiver,GAC
77,6,57,30,35,teacher_caregiver,GAC
77,6,58,30,35,teacher_caregiver,GAC
78,7,59,30,35,teacher_caregiver,GAC
78,7,60,30,35,teacher_caregiver,GAC
79,8,61,30,35,teacher_caregiver,GAC
80,9,62,30,35,teacher_caregiver,GAC
80,9,63,30,35,teacher_caregiver,GAC
81,10,64,30,35,teacher_caregiver,GAC
81,10,65,30,35,teacher_caregiver,GAC
82,12,66,30,35,teacher_caregiver,GAC
83,13,67,30,35,teacher_caregiver,GAC
83,13,68,30,35,teacher_caregiver,GAC
84,14,69,30,35,teacher_caregiver,GAC
85,16,70,30,35,teacher_caregiver,GAC
85,16,71,30,35,teacher_caregiver,GAC
86,18,72,30,35,teacher_caregiver,GAC
86,18,73,30,35,teacher_caregiver,GAC
87,19,74,30,35,teacher_caregiver,GAC
88,21,75,30,35,teacher_caregiver,GAC
88,21,76,30,35,teacher_caregiver,GAC
89,23,77,30,35,teacher_caregiver,GAC
89,23,78,30,35,teacher_caregiver,GAC
90,25,79,30,35,teacher_caregiver,GAC
91,27,80,30,35,teacher_caregiver,GAC
91,27,81,30,35,teacher_caregiver,GAC
92,30,82,30,35,teacher_caregiver,GAC
92,30,83,30,35,teacher_caregiver,GAC
93,32,84,30,35,teacher_caregiver,GAC
94,34,85,30,35,teacher_caregiver,GAC
94,34,86,30,35,teacher_caregiver,GAC
95,37,87,30,35,teacher_caregiver,GAC
96,39,88,30,35,teacher_caregiver,GAC
96,39,89,30,35,teacher_caregiver,GAC
97,42,90,30,35,teacher_caregiver,GAC
97,42,91,30,35,teacher_caregiver,GAC
98,45,92,30,35,teacher_caregiver,GAC
99,47,93,30,35,teacher_caregiver,GAC
99,47,94,30,35,teacher_caregiver,GAC
100,50,95,30,35,teacher_caregiver,GAC
101,53,96,30,35,teacher_caregiver,GAC
101,53,97,30,35,teacher_caregiver,GAC
102,55,98,30,35,teacher_caregiver,GAC
103,58,99,30,35,teacher_caregiver,GAC
104,61,100,30,35,teacher_caregiver,GAC
105,63,101,30,35,teacher_caregiver,GAC
105,63,102,30,35,teacher_caregiver,GAC
106,66,103,30,35,teacher_caregiver,GAC
107,68,104,30,35,teacher_caregiver,GAC
108,70,105,30,35,teacher_caregiver,GAC
109,73,106,30,35,teacher_caregiver,GAC
109,73,107,30,35,teacher_caregiver,GAC
110,75,108,30,35,teacher_caregiver,GAC
111,77,109,30,35,teacher_caregiver,GAC
112,79,110,30,35,teacher_caregiver,GAC
113,81,111,30,35,teacher_caregiver,GAC
113,81,112,30,35,teacher_caregiver,GAC
114,82,113,30,35,teacher_caregiver,GAC
115,84,114,30,35,teacher_caregiver,GAC
116,86,115,30,35,teacher_caregiver,GAC
117,87,116,30,35,teacher_caregiver,GAC
117,87,117,30,35,teacher_caregiver,GAC
118,88,118,30,35,teacher_caregiver,GAC
119,90,119,30,35,teacher_caregiver,GAC
120,>90,120,30,35,teacher_caregiver,GAC
120,>90,121,30,35,teacher_caregiver,GAC
120,>90,122,30,35,teacher_caregiver,GAC
120,>90,123,30,35,teacher_caregiver,GAC
120,>90,124,30,35,teacher_caregiver,GAC
120,>90,125,30,35,teacher_caregiver,GAC
120,>90,126,30,35,teacher_caregiver,GAC
120,>90,127,30,35,teacher_caregiver,GAC
120,>90,128,30,35,teacher_caregiver,GAC
120,>90,129,30,35,teacher_caregiver,GAC
120,>90,130,30,35,teacher_caregiver,GAC
120,>90,131,30,35,teacher_caregiver,GAC
120,>90,132,30,35,teacher_caregiver,GAC
120,>90,133,30,35,teacher_caregiver,GAC
120,>90,134,30,35,teacher_caregiver,GAC
120,>90,135,30,35,teacher_caregiver,GAC
120,>90,136,30,35,teacher_caregiver,GAC
120,>90,137,30,35,teacher_caregiver,GAC
120,>90,138,30,35,teacher_caregiver,GAC
120,>90,139,30,35,teacher_caregiver,GAC
120,>90,140,30,35,teacher_caregiver,GAC
120,>90,141,30,35,teacher_caregiver,GAC
120,>90,142,30,35,teacher_caregiver,GAC
120,>90,143,30,35,teacher_caregiver,GAC
120,>90,144,30,35,teacher_caregiver,GAC
120,>90,145,30,35,teacher_caregiver,GAC
120,>90,146,30,35,teacher_caregiver,GAC
120,>90,147,30,35,teacher_caregiver,GAC
120,>90,148,30,35,teacher_caregiver,GAC
120,>90,149,30,35,teacher_caregiver,GAC
120,>90,150,30,35,teacher_caregiver,GAC
120,>90,151,30,35,teacher_caregiver,GAC
120,>90,152,30,35,teacher_caregiver,GAC
120,>90,153,30,35,teacher_caregiver,GAC
120,>90,154,30,35,teacher_caregiver,GAC
120,>90,155,30,35,teacher_caregiver,GAC
120,>90,156,30,35,teacher_caregiver,GAC
120,>90,157,30,35,teacher_caregiver,GAC
120,>90,158,30,35,teacher_caregiver,GAC
46,<0.1,9,36,41,teacher_caregiver,GAC
47,<0.1,10,36,41,teacher_caregiver,GAC
47,<0.1,11,36,41,teacher_caregiver,GAC
48,<0.1,12,36,41,teacher_caregiver,GAC
48,<0.1,13,36,41,teacher_caregiver,GAC
49,<0.1,14,36,41,teacher_caregiver,GAC
50,<0.1,15,36,41,teacher_caregiver,GAC
50,<0.1,16,36,41,teacher_caregiver,GAC
51,0.1,17,36,41,teacher_caregiver,GAC
52,0.1,18,36,41,teacher_caregiver,GAC
52,0.1,19,36,41,teacher_caregiver,GAC
53,0.1,20,36,41,teacher_caregiver,GAC
53,0.1,21,36,41,teacher_caregiver,GAC
54,0.1,22,36,41,teacher_caregiver,GAC
55,0.1,23,36,41,teacher_caregiver,GAC
55,0.1,24,36,41,teacher_caregiver,GAC
56,0.2,25,36,41,teacher_caregiver,GAC
57,0.2,26,36,41,teacher_caregiver,GAC
57,0.2,27,36,41,teacher_caregiver,GAC
58,0.3,28,36,41,teacher_caregiver,GAC
58,0.3,29,36,41,teacher_caregiver,GAC
59,0.3,30,36,41,teacher_caregiver,GAC
60,0.4,31,36,41,teacher_caregiver,GAC
60,0.4,32,36,41,teacher_caregiver,GAC
61,0.5,33,36,41,teacher_caregiver,GAC
61,0.5,34,36,41,teacher_caregiver,GAC
62,1,35,36,41,teacher_caregiver,GAC
63,1,36,36,41,teacher_caregiver,GAC
63,1,37,36,41,teacher_caregiver,GAC
64,1,38,36,41,teacher_caregiver,GAC
65,1,39,36,41,teacher_caregiver,GAC
65,1,40,36,41,teacher_caregiver,GAC
66,1,41,36,41,teacher_caregiver,GAC
66,1,42,36,41,teacher_caregiver,GAC
67,1,43,36,41,teacher_caregiver,GAC
68,2,44,36,41,teacher_caregiver,GAC
68,2,45,36,41,teacher_caregiver,GAC
69,2,46,36,41,teacher_caregiver,GAC
70,2,47,36,41,teacher_caregiver,GAC
70,2,48,36,41,teacher_caregiver,GAC
71,3,49,36,41,teacher_caregiver,GAC
71,3,50,36,41,teacher_caregiver,GAC
72,3,51,36,41,teacher_caregiver,GAC
73,4,52,36,41,teacher_caregiver,GAC
73,4,53,36,41,teacher_caregiver,GAC
74,4,54,36,41,teacher_caregiver,GAC
75,5,55,36,41,teacher_caregiver,GAC
75,5,56,36,41,teacher_caregiver,GAC
76,5,57,36,41,teacher_caregiver,GAC
76,5,58,36,41,teacher_caregiver,GAC
77,6,59,36,41,teacher_caregiver,GAC
78,7,60,36,41,teacher_caregiver,GAC
78,7,61,36,41,teacher_caregiver,GAC
79,8,62,36,41,teacher_caregiver,GAC
80,9,63,36,41,teacher_caregiver,GAC
80,9,64,36,41,teacher_caregiver,GAC
81,10,65,36,41,teacher_caregiver,GAC
81,10,66,36,41,teacher_caregiver,GAC
82,12,67,36,41,teacher_caregiver,GAC
83,13,68,36,41,teacher_caregiver,GAC
83,13,69,36,41,teacher_caregiver,GAC
84,14,70,36,41,teacher_caregiver,GAC
85,16,71,36,41,teacher_caregiver,GAC
85,16,72,36,41,teacher_caregiver,GAC
86,18,73,36,41,teacher_caregiver,GAC
86,18,74,36,41,teacher_caregiver,GAC
87,19,75,36,41,teacher_caregiver,GAC
88,21,76,36,41,teacher_caregiver,GAC
88,21,77,36,41,teacher_caregiver,GAC
89,23,78,36,41,teacher_caregiver,GAC
90,25,79,36,41,teacher_caregiver,GAC
90,25,80,36,41,teacher_caregiver,GAC
91,27,81,36,41,teacher_caregiver,GAC
91,27,82,36,41,teacher_caregiver,GAC
92,30,83,36,41,teacher_caregiver,GAC
93,32,84,36,41,teacher_caregiver,GAC
93,32,85,36,41,teacher_caregiver,GAC
94,34,86,36,41,teacher_caregiver,GAC
94,34,87,36,41,teacher_caregiver,GAC
95,37,88,36,41,teacher_caregiver,GAC
96,39,89,36,41,teacher_caregiver,GAC
96,39,90,36,41,teacher_caregiver,GAC
97,42,91,36,41,teacher_caregiver,GAC
