scaled_score,raw_score,min_age,max_age,sub_domain,for
1,0,24,26,hs,teacher_caregiver
1,1,24,26,hs,teacher_caregiver
1,2,24,26,hs,teacher_caregiver
1,3,24,26,hs,teacher_caregiver
1,4,24,26,hs,teacher_caregiver
1,5,24,26,hs,teacher_caregiver
1,6,24,26,hs,teacher_caregiver
1,7,24,26,hs,teacher_caregiver
1,8,24,26,hs,teacher_caregiver
1,9,24,26,hs,teacher_caregiver
1,10,24,26,hs,teacher_caregiver
2,11,24,26,hs,teacher_caregiver
2,12,24,26,hs,teacher_caregiver
2,13,24,26,hs,teacher_caregiver
3,14,24,26,hs,teacher_caregiver
3,15,24,26,hs,teacher_caregiver
3,16,24,26,hs,teacher_caregiver
4,17,24,26,hs,teacher_caregiver
4,18,24,26,hs,teacher_caregiver
4,19,24,26,hs,teacher_caregiver
4,20,24,26,hs,teacher_caregiver
5,21,24,26,hs,teacher_caregiver
5,22,24,26,hs,teacher_caregiver
5,23,24,26,hs,teacher_caregiver
6,24,24,26,hs,teacher_caregiver
6,25,24,26,hs,teacher_caregiver
6,26,24,26,hs,teacher_caregiver
7,27,24,26,hs,teacher_caregiver
7,28,24,26,hs,teacher_caregiver
7,29,24,26,hs,teacher_caregiver
8,30,24,26,hs,teacher_caregiver
8,31,24,26,hs,teacher_caregiver
8,32,24,26,hs,teacher_caregiver
9,33,24,26,hs,teacher_caregiver
9,34,24,26,hs,teacher_caregiver
9,35,24,26,hs,teacher_caregiver
9,36,24,26,hs,teacher_caregiver
10,37,24,26,hs,teacher_caregiver
10,38,24,26,hs,teacher_caregiver
11,39,24,26,hs,teacher_caregiver
11,40,24,26,hs,teacher_caregiver
11,41,24,26,hs,teacher_caregiver
12,42,24,26,hs,teacher_caregiver
12,43,24,26,hs,teacher_caregiver
12,44,24,26,hs,teacher_caregiver
13,45,24,26,hs,teacher_caregiver
13,46,24,26,hs,teacher_caregiver
14,47,24,26,hs,teacher_caregiver
14,48,24,26,hs,teacher_caregiver
14,49,24,26,hs,teacher_caregiver
15,50,24,26,hs,teacher_caregiver
15,51,24,26,hs,teacher_caregiver
15,52,24,26,hs,teacher_caregiver
16,53,24,26,hs,teacher_caregiver
16,54,24,26,hs,teacher_caregiver
17,55,24,26,hs,teacher_caregiver
17,56,24,26,hs,teacher_caregiver
17,57,24,26,hs,teacher_caregiver
18,58,24,26,hs,teacher_caregiver
18,59,24,26,hs,teacher_caregiver
18,60,24,26,hs,teacher_caregiver
1,0,27,29,hs,teacher_caregiver
1,1,27,29,hs,teacher_caregiver
1,2,27,29,hs,teacher_caregiver
1,3,27,29,hs,teacher_caregiver
1,4,27,29,hs,teacher_caregiver
1,5,27,29,hs,teacher_caregiver
1,6,27,29,hs,teacher_caregiver
1,7,27,29,hs,teacher_caregiver
1,8,27,29,hs,teacher_caregiver
1,9,27,29,hs,teacher_caregiver
1,10,27,29,hs,teacher_caregiver
1,11,27,29,hs,teacher_caregiver
1,12,27,29,hs,teacher_caregiver
2,13,27,29,hs,teacher_caregiver
2,14,27,29,hs,teacher_caregiver
2,15,27,29,hs,teacher_caregiver
2,16,27,29,hs,teacher_caregiver
3,17,27,29,hs,teacher_caregiver
3,18,27,29,hs,teacher_caregiver
3,19,27,29,hs,teacher_caregiver
4,20,27,29,hs,teacher_caregiver
4,21,27,29,hs,teacher_caregiver
4,22,27,29,hs,teacher_caregiver
5,23,27,29,hs,teacher_caregiver
5,24,27,29,hs,teacher_caregiver
5,25,27,29,hs,teacher_caregiver
5,26,27,29,hs,teacher_caregiver
6,27,27,29,hs,teacher_caregiver
6,28,27,29,hs,teacher_caregiver
6,29,27,29,hs,teacher_caregiver
7,30,27,29,hs,teacher_caregiver
7,31,27,29,hs,teacher_caregiver
7,32,27,29,hs,teacher_caregiver
8,33,27,29,hs,teacher_caregiver
8,34,27,29,hs,teacher_caregiver
8,35,27,29,hs,teacher_caregiver
9,36,27,29,hs,teacher_caregiver
9,37,27,29,hs,teacher_caregiver
9,38,27,29,hs,teacher_caregiver
9,39,27,29,hs,teacher_caregiver
10,40,27,29,hs,teacher_caregiver
10,41,27,29,hs,teacher_caregiver
11,42,27,29,hs,teacher_caregiver
11,43,27,29,hs,teacher_caregiver
11,44,27,29,hs,teacher_caregiver
12,45,27,29,hs,teacher_caregiver
12,46,27,29,hs,teacher_caregiver
13,47,27,29,hs,teacher_caregiver
13,48,27,29,hs,teacher_caregiver
13,49,27,29,hs,teacher_caregiver
14,50,27,29,hs,teacher_caregiver
14,51,27,29,hs,teacher_caregiver
15,52,27,29,hs,teacher_caregiver
15,53,27,29,hs,teacher_caregiver
15,54,27,29,hs,teacher_caregiver
16,55,27,29,hs,teacher_caregiver
