scaled_score,raw_score,min_age,max_age,sub_domain,for
1,0,24,26,mo,teacher_caregiver
1,1,24,26,mo,teacher_caregiver
1,2,24,26,mo,teacher_caregiver
1,3,24,26,mo,teacher_caregiver
1,4,24,26,mo,teacher_caregiver
1,5,24,26,mo,teacher_caregiver
1,6,24,26,mo,teacher_caregiver
1,7,24,26,mo,teacher_caregiver
1,8,24,26,mo,teacher_caregiver
1,9,24,26,mo,teacher_caregiver
1,10,24,26,mo,teacher_caregiver
1,11,24,26,mo,teacher_caregiver
1,12,24,26,mo,teacher_caregiver
1,13,24,26,mo,teacher_caregiver
1,14,24,26,mo,teacher_caregiver
1,15,24,26,mo,teacher_caregiver
1,16,24,26,mo,teacher_caregiver
1,17,24,26,mo,teacher_caregiver
1,18,24,26,mo,teacher_caregiver
1,19,24,26,mo,teacher_caregiver
1,20,24,26,mo,teacher_caregiver
1,21,24,26,mo,teacher_caregiver
1,22,24,26,mo,teacher_caregiver
1,23,24,26,mo,teacher_caregiver
1,24,24,26,mo,teacher_caregiver
1,25,24,26,mo,teacher_caregiver
1,26,24,26,mo,teacher_caregiver
1,27,24,26,mo,teacher_caregiver
1,28,24,26,mo,teacher_caregiver
1,29,24,26,mo,teacher_caregiver
2,30,24,26,mo,teacher_caregiver
2,31,24,26,mo,teacher_caregiver
2,32,24,26,mo,teacher_caregiver
3,33,24,26,mo,teacher_caregiver
3,34,24,26,mo,teacher_caregiver
3,35,24,26,mo,teacher_caregiver
4,36,24,26,mo,teacher_caregiver
4,37,24,26,mo,teacher_caregiver
4,38,24,26,mo,teacher_caregiver
4,39,24,26,mo,teacher_caregiver
5,40,24,26,mo,teacher_caregiver
5,41,24,26,mo,teacher_caregiver
5,42,24,26,mo,teacher_caregiver
6,43,24,26,mo,teacher_caregiver
6,44,24,26,mo,teacher_caregiver
6,45,24,26,mo,teacher_caregiver
7,46,24,26,mo,teacher_caregiver
7,47,24,26,mo,teacher_caregiver
7,48,24,26,mo,teacher_caregiver
7,49,24,26,mo,teacher_caregiver
8,50,24,26,mo,teacher_caregiver
8,51,24,26,mo,teacher_caregiver
8,52,24,26,mo,teacher_caregiver
9,53,24,26,mo,teacher_caregiver
9,54,24,26,mo,teacher_caregiver
9,55,24,26,mo,teacher_caregiver
10,56,24,26,mo,teacher_caregiver
10,57,24,26,mo,teacher_caregiver
10,58,24,26,mo,teacher_caregiver
11,59,24,26,mo,teacher_caregiver
11,60,24,26,mo,teacher_caregiver
12,61,24,26,mo,teacher_caregiver
12,62,24,26,mo,teacher_caregiver
13,63,24,26,mo,teacher_caregiver
13,64,24,26,mo,teacher_caregiver
14,65,24,26,mo,teacher_caregiver
14,66,24,26,mo,teacher_caregiver
15,67,24,26,mo,teacher_caregiver
15,68,24,26,mo,teacher_caregiver
16,69,24,26,mo,teacher_caregiver
17,70,24,26,mo,teacher_caregiver
17,71,24,26,mo,teacher_caregiver
18,72,24,26,mo,teacher_caregiver
18,73,24,26,mo,teacher_caregiver
19,74,24,26,mo,teacher_caregiver
19,75,24,26,mo,teacher_caregiver
19,76,24,26,mo,teacher_caregiver
19,77,24,26,mo,teacher_caregiver
19,78,24,26,mo,teacher_caregiver
1,0,27,29,mo,teacher_caregiver
1,1,27,29,mo,teacher_caregiver
1,2,27,29,mo,teacher_caregiver
1,3,27,29,mo,teacher_caregiver
1,4,27,29,mo,teacher_caregiver
1,5,27,29,mo,teacher_caregiver
1,6,27,29,mo,teacher_caregiver
1,7,27,29,mo,teacher_caregiver
1,8,27,29,mo,teacher_caregiver
1,9,27,29,mo,teacher_caregiver
1,10,27,29,mo,teacher_caregiver
1,11,27,29,mo,teacher_caregiver
1,12,27,29,mo,teacher_caregiver
1,13,27,29,mo,teacher_caregiver
1,14,27,29,mo,teacher_caregiver
1,15,27,29,mo,teacher_caregiver
1,16,27,29,mo,teacher_caregiver
1,17,27,29,mo,teacher_caregiver
1,18,27,29,mo,teacher_caregiver
1,19,27,29,mo,teacher_caregiver
1,20,27,29,mo,teacher_caregiver
1,21,27,29,mo,teacher_caregiver
1,22,27,29,mo,teacher_caregiver
1,23,27,29,mo,teacher_caregiver
1,24,27,29,mo,teacher_caregiver
1,25,27,29,mo,teacher_caregiver
1,26,27,29,mo,teacher_caregiver
1,27,27,29,mo,teacher_caregiver
1,28,27,29,mo,teacher_caregiver
1,29,27,29,mo,teacher_caregiver
1,30,27,29,mo,teacher_caregiver
1,31,27,29,mo,teacher_caregiver
2,32,27,29,mo,teacher_caregiver
2,33,27,29,mo,teacher_caregiver
2,34,27,29,mo,teacher_caregiver
2,35,27,29,mo,teacher_caregiver
3,36,27,29,mo,teacher_caregiver
3,37,27,29,mo,teacher_caregiver
3,38,27,29,mo,teacher_caregiver
4,39,27,29,mo,teacher_caregiver
4,40,27,29,mo,teacher_caregiver
4,41,27,29,mo,teacher_caregiver
5,42,27,29,mo,teacher_caregiver
5,43,27,29,mo,teacher_caregiver
5,44,27,29,mo,teacher_caregiver
5,45,27,29,mo,teacher_caregiver
6,46,27,29,mo,teacher_caregiver
6,47,27,29,mo,teacher_caregiver
6,48,27,29,mo,teacher_caregiver
7,49,27,29,mo,teacher_caregiver
7,50,27,29,mo,teacher_caregiver
7,51,27,29,mo,teacher_caregiver
8,52,27,29,mo,teacher_caregiver
8,53,27,29,mo,teacher_caregiver
8,54,27,29,mo,teacher_caregiver
9,55,27,29,mo,teacher_caregiver
9,56,27,29,mo,teacher_caregiver
9,57,27,29,mo,teacher_caregiver
9,58,27,29,mo,teacher_caregiver
10,59,27,29,mo,teacher_caregiver
10,60,27,29,mo,teacher_caregiver
11,61,27,29,mo,teacher_caregiver
11,62,27,29,mo,teacher_caregiver
12,63,27,29,mo,teacher_caregiver
