scaled_score,raw_score,min_age,max_age,sub_domain,for
2,0,24,26,soc,teacher_caregiver
2,1,24,26,soc,teacher_caregiver
2,2,24,26,soc,teacher_caregiver
2,3,24,26,soc,teacher_caregiver
2,4,24,26,soc,teacher_caregiver
3,5,24,26,soc,teacher_caregiver
3,6,24,26,soc,teacher_caregiver
3,7,24,26,soc,teacher_caregiver
3,8,24,26,soc,teacher_caregiver
3,9,24,26,soc,teacher_caregiver
3,10,24,26,soc,teacher_caregiver
4,11,24,26,soc,teacher_caregiver
4,12,24,26,soc,teacher_caregiver
4,13,24,26,soc,teacher_caregiver
4,14,24,26,soc,teacher_caregiver
4,15,24,26,soc,teacher_caregiver
4,16,24,26,soc,teacher_caregiver
5,17,24,26,soc,teacher_caregiver
5,18,24,26,soc,teacher_caregiver
5,19,24,26,soc,teacher_caregiver
5,20,24,26,soc,teacher_caregiver
5,21,24,26,soc,teacher_caregiver
5,22,24,26,soc,teacher_caregiver
5,23,24,26,soc,teacher_caregiver
6,24,24,26,soc,teacher_caregiver
6,25,24,26,soc,teacher_caregiver
6,26,24,26,soc,teacher_caregiver
6,27,24,26,soc,teacher_caregiver
6,28,24,26,soc,teacher_caregiver
6,29,24,26,soc,teacher_caregiver
7,30,24,26,soc,teacher_caregiver
7,31,24,26,soc,teacher_caregiver
7,32,24,26,soc,teacher_caregiver
7,33,24,26,soc,teacher_caregiver
7,34,24,26,soc,teacher_caregiver
7,35,24,26,soc,teacher_caregiver
7,36,24,26,soc,teacher_caregiver
8,37,24,26,soc,teacher_caregiver
8,38,24,26,soc,teacher_caregiver
8,39,24,26,soc,teacher_caregiver
8,40,24,26,soc,teacher_caregiver
8,41,24,26,soc,teacher_caregiver
8,42,24,26,soc,teacher_caregiver
9,43,24,26,soc,teacher_caregiver
9,44,24,26,soc,teacher_caregiver
9,45,24,26,soc,teacher_caregiver
9,46,24,26,soc,teacher_caregiver
9,47,24,26,soc,teacher_caregiver
9,48,24,26,soc,teacher_caregiver
10,49,24,26,soc,teacher_caregiver
10,50,24,26,soc,teacher_caregiver
10,51,24,26,soc,teacher_caregiver
10,52,24,26,soc,teacher_caregiver
10,53,24,26,soc,teacher_caregiver
11,54,24,26,soc,teacher_caregiver
11,55,24,26,soc,teacher_caregiver
12,56,24,26,soc,teacher_caregiver
12,57,24,26,soc,teacher_caregiver
13,58,24,26,soc,teacher_caregiver
13,59,24,26,soc,teacher_caregiver
14,60,24,26,soc,teacher_caregiver
14,61,24,26,soc,teacher_caregiver
15,62,24,26,soc,teacher_caregiver
15,63,24,26,soc,teacher_caregiver
16,64,24,26,soc,teacher_caregiver
16,65,24,26,soc,teacher_caregiver
17,66,24,26,soc,teacher_caregiver
17,67,24,26,soc,teacher_caregiver
18,68,24,26,soc,teacher_caregiver
18,69,24,26,soc,teacher_caregiver
18,70,24,26,soc,teacher_caregiver
19,71,24,26,soc,teacher_caregiver
19,72,24,26,soc,teacher_caregiver
1,0,27,29,soc,teacher_caregiver
1,1,27,29,soc,teacher_caregiver
2,2,27,29,soc,teacher_caregiver
2,3,27,29,soc,teacher_caregiver
2,4,27,29,soc,teacher_caregiver
2,5,27,29,soc,teacher_caregiver
2,6,27,29,soc,teacher_caregiver
2,7,27,29,soc,teacher_caregiver
3,8,27,29,soc,teacher_caregiver
3,9,27,29,soc,teacher_caregiver
3,10,27,29,soc,teacher_caregiver
3,11,27,29,soc,teacher_caregiver
3,12,27,29,soc,teacher_caregiver
3,13,27,29,soc,teacher_caregiver
3,14,27,29,soc,teacher_caregiver
4,15,27,29,soc,teacher_caregiver
4,16,27,29,soc,teacher_caregiver
4,17,27,29,soc,teacher_caregiver
4,18,27,29,soc,teacher_caregiver
4,19,27,29,soc,teacher_caregiver
4,20,27,29,soc,teacher_caregiver
5,21,27,29,soc,teacher_caregiver
5,22,27,29,soc,teacher_caregiver
5,23,27,29,soc,teacher_caregiver
5,24,27,29,soc,teacher_caregiver
5,25,27,29,soc,teacher_caregiver
5,26,27,29,soc,teacher_caregiver
6,27,27,29,soc,teacher_caregiver
6,28,27,29,soc,teacher_caregiver
6,29,27,29,soc,teacher_caregiver
6,30,27,29,soc,teacher_caregiver
6,31,27,29,soc,teacher_caregiver
6,32,27,29,soc,teacher_caregiver
7,33,27,29,soc,teacher_caregiver
7,34,27,29,soc,teacher_caregiver
7,35,27,29,soc,teacher_caregiver
7,36,27,29,soc,teacher_caregiver
7,37,27,29,soc,teacher_caregiver
7,38,27,29,soc,teacher_caregiver
8,39,27,29,soc,teacher_caregiver
8,40,27,29,soc,teacher_caregiver
8,41,27,29,soc,teacher_caregiver
8,42,27,29,soc,teacher_caregiver
8,43,27,29,soc,teacher_caregiver
8,44,27,29,soc,teacher_caregiver
9,45,27,29,soc,teacher_caregiver
9,46,27,29,soc,teacher_caregiver
9,47,27,29,soc,teacher_caregiver
9,48,27,29,soc,teacher_caregiver
9,49,27,29,soc,teacher_caregiver
9,50,27,29,soc,teacher_caregiver
9,51,27,29,soc,teacher_caregiver
10,52,27,29,soc,teacher_caregiver
10,53,27,29,soc,teacher_caregiver
10,54,27,29,soc,teacher_caregiver
10,55,27,29,soc,teacher_caregiver
11,56,27,29,soc,teacher_caregiver
11,57,27,29,soc,teacher_caregiver
12,58,27,29,soc,teacher_caregiver
12,59,27,29,soc,teacher_caregiver
13,60,27,29,soc,teacher_caregiver
13,61,27,29,soc,teacher_caregiver
14,62,27,29,soc,teacher_caregiver
14,63,27,29,soc,teacher_caregiver
15,64,27,29,soc,teacher_caregiver
15,65,27,29,soc,teacher_caregiver
16,66,27,29,soc,teacher_caregiver
16,67,27,29,soc,teacher_caregiver
17,68,27,29,soc,teacher_caregiver
17,69,27,29,soc,teacher_caregiver
18,70,27,29,soc,teacher_caregiver
18,71,27,29,soc,teacher_caregiver
19,72,27,29,soc,teacher_caregiver
1,0,30,32,soc,teacher_caregiver
1,1,30,32,soc,teacher_caregiver
1,2,30,32,soc,teacher_caregiver
1,3,30,32,soc,teacher_caregiver
1,4,30,32,soc,teacher_caregiver
1,5,30,32,soc,teacher_caregiver
2,6,30,32,soc,teacher_caregiver
2,7,30,32,soc,teacher_caregiver
2,8,30,32,soc,teacher_caregiver
2,9,30,32,soc,teacher_caregiver
2,10,30,32,soc,teacher_caregiver
2,11,30,32,soc,teacher_caregiver
3,12,30,32,soc,teacher_caregiver
3,13,30,32,soc,teacher_caregiver
3,14,30,32,soc,teacher_caregiver
3,15,30,32,soc,teacher_caregiver
3,16,30,32,soc,teacher_caregiver
3,17,30,32,soc,teacher_caregiver
4,18,30,32,soc,teacher_caregiver
4,19,30,32,soc,teacher_caregiver
4,20,30,32,soc,teacher_caregiver
4,21,30,32,soc,teacher_caregiver
4,22,30,32,soc,teacher_caregiver
4,23,30,32,soc,teacher_caregiver
5,24,30,32,soc,teacher_caregiver
5,25,30,32,soc,teacher_caregiver
5,26,30,32,soc,teacher_caregiver
5,27,30,32,soc,teacher_caregiver
5,28,30,32,soc,teacher_caregiver
5,29,30,32,soc,teacher_caregiver
6,30,30,32,soc,teacher_caregiver
6,31,30,32,soc,teacher_caregiver
6,32,30,32,soc,teacher_caregiver
6,33,30,32,soc,teacher_caregiver
6,34,30,32,soc,teacher_caregiver
6,35,30,32,soc,teacher_caregiver
7,36,30,32,soc,teacher_caregiver
7,37,30,32,soc,teacher_caregiver
7,38,30,32,soc,teacher_caregiver
7,39,30,32,soc,teacher_caregiver
7,40,30,32,soc,teacher_caregiver
7,41,30,32,soc,teacher_caregiver
8,42,30,32,soc,teacher_caregiver
8,43,30,32,soc,teacher_caregiver
8,44,30,32,soc,teacher_caregiver
8,45,30,32,soc,teacher_caregiver
8,46,30,32,soc,teacher_caregiver
8,47,30,32,soc,teacher_caregiver
9,48,30,32,soc,teacher_caregiver
9,49,30,32,soc,teacher_caregiver
9,50,30,32,soc,teacher_caregiver
9,51,30,32,soc,teacher_caregiver
9,52,30,32,soc,teacher_caregiver
9,53,30,32,soc,teacher_caregiver
10,54,30,32,soc,teacher_caregiver
10,55,30,32,soc,teacher_caregiver
10,56,30,32,soc,teacher_caregiver
10,57,30,32,soc,teacher_caregiver
11,58,30,32,soc,teacher_caregiver
11,59,30,32,soc,teacher_caregiver
12,60,30,32,soc,teacher_caregiver
12,61,30,32,soc,teacher_caregiver
13,62,30,32,soc,teacher_caregiver
13,63,30,32,soc,teacher_caregiver
14,64,30,32,soc,teacher_caregiver
15,65,30,32,soc,teacher_caregiver
15,66,30,32,soc,teacher_caregiver
16,67,30,32,soc,teacher_caregiver
