std_score,per_rank,value,min_age,max_age,for,type
# ,24,29,teacher_caregiver,GAC
51,0.1,13
51,0.1,14
52,0.1,15
53,0.1,16
53,0.1,17
54,0.1,18
54,0.1,19
55,0.1,20
56,0.2,21
56,0.2,22
57,0.2,23
57,0.2,24
58,0.3,25
59,0.3,26
59,0.3,27
60,0.4,28
60,0.4,29
61,0.5,30
62,1,31
62,1,32
63,1,33
63,1,34
64,1,35
65,1,36
65,1,37
66,1,38
67,1,39
67,1,40
68,2,41
68,2,42
69,2,43
70,2,44
70,2,45
71,3,46
71,3,47
72,3,48
73,4,49
73,4,50
74,4,51
74,4,52
75,5,53
76,5,54
76,5,55
77,6,56
77,6,57
78,7,58
79,8,59
79,8,60
80,9,61
80,9,62
81,10,36
82,12,64-65
83,13,66-67
84,14,68
85,16,69-70
86,18,71-72
87,19,73
88,21,74-75
89,23,76
90,25,77-78
91,27,79-80
92,30,81
93,32,82-83
94,34,84-85
95,37,86
96,39,87-88
97,42,89-90
98,45,91
99,47,92-93
100,50,94
101,53,95-96
102,55,97
103,58,98-99
104,61,100
105,63,101
106,66,102-103
107,68,104
108,70,105
109,73,106-107
110,75,108
111,77,109
112,79,110-111
113,81,112
114,82,113
115,84,114-115
116,86,116
117,87,117-118
118,88,119
119,90,120
120,>90,121-165
# ,30,35,teacher_caregiver,GAC
47,<0.1,9
48,<0.1,10-11
49,<0.1,12-13
50,<0.1,14
51,0.1,15-16
52,0.1,17
53,0.1,18-19
54,0.1,20-21
55,0.1,22
56,0.2,23-24
57,0.2,25-26
58,0.3,27
59,0.3,28-29
60,0.4,30
61,0.5,31-32
62,1,33-34
63,1,35
64,1,36-37
65,1,38-39
66,1,40
67,1,41-42
68,2,43
69,2,44-45
70,2,46-47
71,3,48
72,3,49-50
73,4,51-52
74,4,53
75,5,54-55
76,5,56
77,6,57-58
78,7,59-60
79,8,61
80,9,62-63
81,10,64-65
82,12,66
83,13,67-68
84,14,69
85,16,70-71
86,18,72-73
87,19,74
88,21,75-76
89,23,77-78
90,25,79
91,27,80-81
92,30,82-83
93,32,84
94,34,85-86
95,37,87
96,39,88-89
97,42,90-91
98,45,92
99,47,93-94
100,50,95
101,53,96-97
102,55,98
103,58,99
104,61,100
105,63,101-102
106,66,103
107,68,104
108,70,105
109,73,106-107
110,75,108
111,77,109
112,79,110
113,81,111-112
114,82,113
115,84,114
116,86,115
117,87,116-117
118,88,118
119,90,119
120,>90,120-158
# ,36,41,teacher_caregiver,GAC
46,<0.1,9
47,<0.1,10-11
48,<0.1,12-13
49,<0.1,14
50,<0.1,15-16
51,0.1,17
52,0.1,18-19
53,0.1,20-21
54,0.1,22
55,0.1,23-24
56,0.2,25
57,0.2,26-27
58,0.3,28-29
59,0.3,30
60,0.4,31-32
61,0.5,33-34
62,1,35
63,1,36-37
64,1,38
65,1,39-40
66,1,41-42
67,1,43
68,2,44-45
69,2,46
70,2,47-48
71,3,49-50
72,3,51
73,4,52-53
74,4,54
75,5,55-56
76,5,57-58
77,6,59
78,7,60-61
79,8,62
80,9,63-64
81,10,65-66
82,12,67
83,13,68-69
84,14,70
85,16,71-72
86,18,73-74
87,19,75
88,21,76-77
89,23,78
90,25,79-80
91,27,81-82
92,30,83
93,32,84-85
94,34,86-87
95,37,88
96,39,89-90
97,42,91
98,45,92-93
99,47,94-95
100,50,96
101,53,97
102,55,98
103,58,99
104,61,100
105,63,101-102
106,66,103
107,68,104
108,70,105
109,73,106
110,75,107
111,77,108
112,79,109-110
113,81,111
114,82,112
115,84,113
116,86,114
117,87,115
118,88,116
119,90,117-118
120,>90,119-149
# ,42,47,teacher_caregiver,GAC
45,<0.1,9
46,<0.1,10-11
47,<0.1,12
48,<0.1,13-14
49,<0.1,15-16
50,<0.1,17
51,0.1,18-19
52,0.1,20
53,0.1,21-22
54,0.1,23-24
55,0.1,25
56,0.2,26-27
57,0.2,28
58,0.3,29-30
59,0.3,31
60,0.4,32-33
61,0.5,34-35
62,1,36
63,1,37-38
64,1,39
65,1,40-41
66,1,42-43
67,1,44
68,2,45-46
69,2,47
70,2,48-49
71,3,50
72,3,51-52
73,4,53-54
74,4,55
75,5,56-57
76,5,58
77,6,59-60
78,7,61-62
79,8,63
80,9,64-65
81,10,66
82,12,67-68
83,13,69
84,14,70-71
85,16,72-73
86,18,74
87,19,75-76
88,21,77
89,23,78-79
90,25,80-81
91,27,82
92,30,83-84
93,32,85
94,34,86-87
95,37,88
96,39,89-90
97,42,91-92
98,45,93
99,47,94-95
100,50,96
101,53,97
102,55,98
103,58,99
104,61,100
105,63,101
106,66,102
107,68,103
108,70,104
109,73,105
110,75,106
111,77,107
112,79,108
113,81,109
114,82,110-111
115,84,112
116,86,113
117,87,114
118,88,115
119,90,116
120,>90,117-138
# ,48,53,teacher_caregiver,GAC
44,<0.1,9
45,<0.1,10
46,<0.1,11-12
47,<0.1,13-14
48,<0.1,15
49,<0.1,16-17
50,<0.1,18
51,0.1,19-20
52,0.1,21
53,0.1,22-23
54,0.1,24
55,0.1,25-26
56,0.2,27-28
57,0.2,29
58,0.3,30-31
59,0.3,32
60,0.4,33-34
61,0.5,35
62,1,36-37
63,1,38
64,1,39-40
65,1,41-42
66,1,43
67,1,44-45
68,2,46
69,2,47-48
70,2,49
71,3,50-51
72,3,52-53
73,4,54
74,4,55-56
75,5,57
76,5,58-59
77,6,60
78,7,61-62
79,8,63
80,9,64-65
81,10,66-67
82,12,68
83,13,69-70
84,14,71
85,16,72-73
86,18,74
87,19,75-76
88,21,77-78
89,23,79
90,25,80-81
91,27,82
92,30,83-84
93,32,85
94,34,86-87
95,37,88
96,39,89-90
97,42,91-92
98,45,93
99,47,94-95
100,50,96
101,53,97
102,55,98
103,58,99
104,61,100
105,63,101
107,68,102
108,70,103
109,73,104
110,75,105
111,77,106
112,79,107
113,81,108
114,82,109
115,84,110
116,86,111
117,87,112
118,88,113
120,>90,114-130
# ,54,59,teacher_caregiver,GAC
44,<0.1,9-10
45,<0.1,11
46,<0.1,12-13
47,<0.1,14
48,<0.1,15-16
49,<0.1,17
50,<0.1,18-19
51,0.1,20
52,0.1,21-22
53,0.1,23
54,0.1,24-25
55,0.1,26-27
56,0.2,28
57,0.2,29-30
58,0.3,31
59,0.3,32-33
60,0.4,34
61,0.5,35-36
62,1,37
63,1,38-39
64,1,40
65,1,41-42
66,1,43
67,1,44-45
68,2,46-47
69,2,48
70,2,49-50
71,3,51
72,3,52-53
73,4,54
74,4,55-56
75,5,57
76,5,58-59
77,6,60
78,7,61-62
79,8,63-64
80,9,65
81,10,66-67
82,12,68
83,13,69-70
84,14,71
85,16,72-73
86,18,74
87,19,75-76
88,21,77
89,23,78-79
90,25,80
91,27,81-82
92,30,83-84
93,32,85
