scaled_score,raw_score,min_age,max_age,sub_domain,for
2,0,60,63,cu,teacher
2,1,60,63,cu,teacher
3,2,60,63,cu,teacher
3,3,60,63,cu,teacher
3,4,60,63,cu,teacher
4,5,60,63,cu,teacher
4,6,60,63,cu,teacher
5,7,60,63,cu,teacher
5,8,60,63,cu,teacher
6,9,60,63,cu,teacher
6,10,60,63,cu,teacher
7,11,60,63,cu,teacher
7,12,60,63,cu,teacher
7,13,60,63,cu,teacher
8,14,60,63,cu,teacher
8,15,60,63,cu,teacher
9,16,60,63,cu,teacher
9,17,60,63,cu,teacher
10,18,60,63,cu,teacher
10,19,60,63,cu,teacher
11,20,60,63,cu,teacher
11,21,60,63,cu,teacher
11,22,60,63,cu,teacher
12,23,60,63,cu,teacher
12,24,60,63,cu,teacher
13,25,60,63,cu,teacher
13,26,60,63,cu,teacher
13,27,60,63,cu,teacher
14,28,60,63,cu,teacher
14,29,60,63,cu,teacher
15,30,60,63,cu,teacher
15,31,60,63,cu,teacher
15,32,60,63,cu,teacher
16,33,60,63,cu,teacher
16,34,60,63,cu,teacher
17,35,60,63,cu,teacher
17,36,60,63,cu,teacher
18,37,60,63,cu,teacher
18,38,60,63,cu,teacher
18,39,60,63,cu,teacher
19,40,60,63,cu,teacher
19,41,60,63,cu,teacher
19,42,60,63,cu,teacher
19,43,60,63,cu,teacher
19,44,60,63,cu,teacher
19,45,60,63,cu,teacher
1,0,64,67,cu,teacher
1,1,64,67,cu,teacher
2,2,64,67,cu,teacher
2,3,64,67,cu,teacher
3,4,64,67,cu,teacher
3,5,64,67,cu,teacher
4,6,64,67,cu,teacher
4,7,64,67,cu,teacher
4,8,64,67,cu,teacher
5,9,64,67,cu,teacher
5,10,64,67,cu,teacher
6,11,64,67,cu,teacher
6,12,64,67,cu,teacher
7,13,64,67,cu,teacher
7,14,64,67,cu,teacher
8,15,64,67,cu,teacher
8,16,64,67,cu,teacher
8,17,64,67,cu,teacher
9,18,64,67,cu,teacher
9,19,64,67,cu,teacher
10,20,64,67,cu,teacher
10,21,64,67,cu,teacher
11,22,64,67,cu,teacher
11,23,64,67,cu,teacher
11,24,64,67,cu,teacher
12,25,64,67,cu,teacher
12,26,64,67,cu,teacher
13,27,64,67,cu,teacher
13,28,64,67,cu,teacher
14,29,64,67,cu,teacher
14,30,64,67,cu,teacher
14,31,64,67,cu,teacher
15,32,64,67,cu,teacher
15,33,64,67,cu,teacher
16,34,64,67,cu,teacher
16,35,64,67,cu,teacher
17,36,64,67,cu,teacher
17,37,64,67,cu,teacher
17,38,64,67,cu,teacher
18,39,64,67,cu,teacher
18,40,64,67,cu,teacher
19,41,64,67,cu,teacher
19,42,64,67,cu,teacher
19,43,64,67,cu,teacher
19,44,64,67,cu,teacher
19,45,64,67,cu,teacher
1,0,68,71,cu,teacher
1,1,68,71,cu,teacher
1,2,68,71,cu,teacher
1,3,68,71,cu,teacher
2,4,68,71,cu,teacher
2,5,68,71,cu,teacher
3,6,68,71,cu,teacher
3,7,68,71,cu,teacher
