scaled_score,raw_score,min_age,max_age,sub_domain,for
4,0,60,63,fa,teacher
4,1,60,63,fa,teacher
5,2,60,63,fa,teacher
5,3,60,63,fa,teacher
5,4,60,63,fa,teacher
6,5,60,63,fa,teacher
6,6,60,63,fa,teacher
7,7,60,63,fa,teacher
7,8,60,63,fa,teacher
8,9,60,63,fa,teacher
8,10,60,63,fa,teacher
8,11,60,63,fa,teacher
9,12,60,63,fa,teacher
9,13,60,63,fa,teacher
10,14,60,63,fa,teacher
10,15,60,63,fa,teacher
10,16,60,63,fa,teacher
11,17,60,63,fa,teacher
11,18,60,63,fa,teacher
11,19,60,63,fa,teacher
11,20,60,63,fa,teacher
11,21,60,63,fa,teacher
12,22,60,63,fa,teacher
12,23,60,63,fa,teacher
12,24,60,63,fa,teacher
12,25,60,63,fa,teacher
13,26,60,63,fa,teacher
13,27,60,63,fa,teacher
13,28,60,63,fa,teacher
13,29,60,63,fa,teacher
14,30,60,63,fa,teacher
14,31,60,63,fa,teacher
14,32,60,63,fa,teacher
14,33,60,63,fa,teacher
14,34,60,63,fa,teacher
15,35,60,63,fa,teacher
15,36,60,63,fa,teacher
15,37,60,63,fa,teacher
15,38,60,63,fa,teacher
16,39,60,63,fa,teacher
16,40,60,63,fa,teacher
16,41,60,63,fa,teacher
16,42,60,63,fa,teacher
17,43,60,63,fa,teacher
17,44,60,63,fa,teacher
17,45,60,63,fa,teacher
17,46,60,63,fa,teacher
18,47,60,63,fa,teacher
18,48,60,63,fa,teacher
18,49,60,63,fa,teacher
18,50,60,63,fa,teacher
18,51,60,63,fa,teacher
19,52,60,63,fa,teacher
19,53,60,63,fa,teacher
19,54,60,63,fa,teacher
19,55,60,63,fa,teacher
19,56,60,63,fa,teacher
19,57,60,63,fa,teacher
19,58,60,63,fa,teacher
19,59,60,63,fa,teacher
19,60,60,63,fa,teacher
19,61,60,63,fa,teacher
19,62,60,63,fa,teacher
19,63,60,63,fa,teacher
19,64,60,63,fa,teacher
19,65,60,63,fa,teacher
19,66,60,63,fa,teacher
3,0,64,67,fa,teacher
3,1,64,67,fa,teacher
4,2,64,67,fa,teacher
4,3,64,67,fa,teacher
4,4,64,67,fa,teacher
5,5,64,67,fa,teacher
5,6,64,67,fa,teacher
5,7,64,67,fa,teacher
6,8,64,67,fa,teacher
6,9,64,67,fa,teacher
6,10,64,67,fa,teacher
7,11,64,67,fa,teacher
7,12,64,67,fa,teacher
7,13,64,67,fa,teacher
8,14,64,67,fa,teacher
8,15,64,67,fa,teacher
9,16,64,67,fa,teacher
9,17,64,67,fa,teacher
9,18,64,67,fa,teacher
10,19,64,67,fa,teacher
10,20,64,67,fa,teacher
10,21,64,67,fa,teacher
10,22,64,67,fa,teacher
11,23,64,67,fa,teacher
11,24,64,67,fa,teacher
11,25,64,67,fa,teacher
11,26,64,67,fa,teacher
12,27,64,67,fa,teacher
12,28,64,67,fa,teacher
12,29,64,67,fa,teacher
12,30,64,67,fa,teacher
13,31,64,67,fa,teacher
13,32,64,67,fa,teacher
13,33,64,67,fa,teacher
13,34,64,67,fa,teacher
14,35,64,67,fa,teacher
14,36,64,67,fa,teacher
14,37,64,67,fa,teacher
14,38,64,67,fa,teacher
15,39,64,67,fa,teacher
15,40,64,67,fa,teacher
15,41,64,67,fa,teacher
15,42,64,67,fa,teacher
16,43,64,67,fa,teacher
16,44,64,67,fa,teacher
16,45,64,67,fa,teacher
16,46,64,67,fa,teacher
16,47,64,67,fa,teacher
17,48,64,67,fa,teacher
17,49,64,67,fa,teacher
17,50,64,67,fa,teacher
17,51,64,67,fa,teacher
18,52,64,67,fa,teacher
18,53,64,67,fa,teacher
18,54,64,67,fa,teacher
18,55,64,67,fa,teacher
19,56,64,67,fa,teacher
19,57,64,67,fa,teacher
19,58,64,67,fa,teacher
19,59,64,67,fa,teacher
19,60,64,67,fa,teacher
19,61,64,67,fa,teacher
19,62,64,67,fa,teacher
19,63,64,67,fa,teacher
19,64,64,67,fa,teacher
19,65,64,67,fa,teacher
19,66,64,67,fa,teacher
2,0,68,71,fa,teacher
3,1,68,71,fa,teacher
