scaled_score,raw_score,min_age,max_age,sub_domain,for
2,0,60,63,hs,teacher
2,1,60,63,hs,teacher
2,2,60,63,hs,teacher
3,3,60,63,hs,teacher
3,4,60,63,hs,teacher
3,5,60,63,hs,teacher
3,6,60,63,hs,teacher
4,7,60,63,hs,teacher
4,8,60,63,hs,teacher
4,9,60,63,hs,teacher
4,10,60,63,hs,teacher
4,11,60,63,hs,teacher
5,12,60,63,hs,teacher
5,13,60,63,hs,teacher
5,14,60,63,hs,teacher
5,15,60,63,hs,teacher
6,16,60,63,hs,teacher
6,17,60,63,hs,teacher
6,18,60,63,hs,teacher
6,19,60,63,hs,teacher
7,20,60,63,hs,teacher
7,21,60,63,hs,teacher
7,22,60,63,hs,teacher
7,23,60,63,hs,teacher
8,24,60,63,hs,teacher
8,25,60,63,hs,teacher
8,26,60,63,hs,teacher
8,27,60,63,hs,teacher
9,28,60,63,hs,teacher
9,29,60,63,hs,teacher
9,30,60,63,hs,teacher
9,31,60,63,hs,teacher
10,32,60,63,hs,teacher
10,33,60,63,hs,teacher
10,34,60,63,hs,teacher
11,35,60,63,hs,teacher
12,36,60,63,hs,teacher
12,37,60,63,hs,teacher
13,38,60,63,hs,teacher
13,39,60,63,hs,teacher
14,40,60,63,hs,teacher
14,41,60,63,hs,teacher
15,42,60,63,hs,teacher
16,43,60,63,hs,teacher
16,44,60,63,hs,teacher
17,45,60,63,hs,teacher
1,0,64,67,hs,teacher
1,1,64,67,hs,teacher
2,2,64,67,hs,teacher
2,3,64,67,hs,teacher
2,4,64,67,hs,teacher
2,5,64,67,hs,teacher
3,6,64,67,hs,teacher
3,7,64,67,hs,teacher
3,8,64,67,hs,teacher
3,9,64,67,hs,teacher
4,10,64,67,hs,teacher
4,11,64,67,hs,teacher
4,12,64,67,hs,teacher
4,13,64,67,hs,teacher
5,14,64,67,hs,teacher
5,15,64,67,hs,teacher
5,16,64,67,hs,teacher
5,17,64,67,hs,teacher
6,18,64,67,hs,teacher
6,19,64,67,hs,teacher
6,20,64,67,hs,teacher
6,21,64,67,hs,teacher
7,22,64,67,hs,teacher
7,23,64,67,hs,teacher
7,24,64,67,hs,teacher
7,25,64,67,hs,teacher
8,26,64,67,hs,teacher
8,27,64,67,hs,teacher
8,28,64,67,hs,teacher
8,29,64,67,hs,teacher
9,30,64,67,hs,teacher
9,31,64,67,hs,teacher
9,32,64,67,hs,teacher
10,33,64,67,hs,teacher
10,34,64,67,hs,teacher
10,35,64,67,hs,teacher
11,36,64,67,hs,teacher
11,37,64,67,hs,teacher
12,38,64,67,hs,teacher
12,39,64,67,hs,teacher
13,40,64,67,hs,teacher
14,41,64,67,hs,teacher
14,42,64,67,hs,teacher
15,43,64,67,hs,teacher
16,44,64,67,hs,teacher
16,45,64,67,hs,teacher
1,0,68,71,hs,teacher
1,1,68,71,hs,teacher
1,2,68,71,hs,teacher
1,3,68,71,hs,teacher
2,4,68,71,hs,teacher
2,5,68,71,hs,teacher
2,6,68,71,hs,teacher
2,7,68,71,hs,teacher
3,8,68,71,hs,teacher
3,9,68,71,hs,teacher
3,10,68,71,hs,teacher
3,11,68,71,hs,teacher
4,12,68,71,hs,teacher
4,13,68,71,hs,teacher
4,14,68,71,hs,teacher
4,15,68,71,hs,teacher
5,16,68,71,hs,teacher
5,17,68,71,hs,teacher
5,18,68,71,hs,teacher
6,19,68,71,hs,teacher
6,20,68,71,hs,teacher
6,21,68,71,hs,teacher
6,22,68,71,hs,teacher
7,23,68,71,hs,teacher
7,24,68,71,hs,teacher
7,25,68,71,hs,teacher
7,26,68,71,hs,teacher
8,27,68,71,hs,teacher
8,28,68,71,hs,teacher
8,29,68,71,hs,teacher
8,30,68,71,hs,teacher
9,31,68,71,hs,teacher
9,32,68,71,hs,teacher
9,33,68,71,hs,teacher
9,34,68,71,hs,teacher
10,35,68,71,hs,teacher
10,36,68,71,hs,teacher
10,37,68,71,hs,teacher
11,38,68,71,hs,teacher
12,39,68,71,hs,teacher
12,40,68,71,hs,teacher
13,41,68,71,hs,teacher
14,42,68,71,hs,teacher
14,43,68,71,hs,teacher
15,44,68,71,hs,teacher
15,45,68,71,hs,teacher
1,0,72,75,hs,teacher
1,1,72,75,hs,teacher
1,2,72,75,hs,teacher
1,3,72,75,hs,teacher
1,4,72,75,hs,teacher
1,5,72,75,hs,teacher
2,6,72,75,hs,teacher
2,7,72,75,hs,teacher
2,8,72,75,hs,teacher
2,9,72,75,hs,teacher
3,10,72,75,hs,teacher
3,11,72,75,hs,teacher
3,12,72,75,hs,teacher
3,13,72,75,hs,teacher
4,14,72,75,hs,teacher
4,15,72,75,hs,teacher
4,16,72,75,hs,teacher
5,17,72,75,hs,teacher
5,18,72,75,hs,teacher
5,19,72,75,hs,teacher
5,20,72,75,hs,teacher
6,21,72,75,hs,teacher
6,22,72,75,hs,teacher
6,23,72,75,hs,teacher
6,24,72,75,hs,teacher
7,25,72,75,hs,teacher
7,26,72,75,hs,teacher
7,27,72,75,hs,teacher
7,28,72,75,hs,teacher
8,29,72,75,hs,teacher
8,30,72,75,hs,teacher
8,31,72,75,hs,teacher
9,32,72,75,hs,teacher
9,33,72,75,hs,teacher
9,34,72,75,hs,teacher
9,35,72,75,hs,teacher
10,36,72,75,hs,teacher
10,37,72,75,hs,teacher
