scaled_score,raw_score,min_age,max_age,sub_domain,for
1,0,60,63,sc,teacher
1,1,60,63,sc,teacher
1,2,60,63,sc,teacher
1,3,60,63,sc,teacher
1,4,60,63,sc,teacher
1,5,60,63,sc,teacher
1,6,60,63,sc,teacher
1,7,60,63,sc,teacher
1,8,60,63,sc,teacher
1,9,60,63,sc,teacher
1,10,60,63,sc,teacher
1,11,60,63,sc,teacher
2,12,60,63,sc,teacher
2,13,60,63,sc,teacher
2,14,60,63,sc,teacher
2,15,60,63,sc,teacher
3,16,60,63,sc,teacher
3,17,60,63,sc,teacher
3,18,60,63,sc,teacher
3,19,60,63,sc,teacher
4,20,60,63,sc,teacher
4,21,60,63,sc,teacher
4,22,60,63,sc,teacher
4,23,60,63,sc,teacher
5,24,60,63,sc,teacher
5,25,60,63,sc,teacher
5,26,60,63,sc,teacher
5,27,60,63,sc,teacher
6,28,60,63,sc,teacher
6,29,60,63,sc,teacher
6,30,60,63,sc,teacher
6,31,60,63,sc,teacher
7,32,60,63,sc,teacher
7,33,60,63,sc,teacher
7,34,60,63,sc,teacher
7,35,60,63,sc,teacher
7,36,60,63,sc,teacher
8,37,60,63,sc,teacher
8,38,60,63,sc,teacher
8,39,60,63,sc,teacher
8,40,60,63,sc,teacher
9,41,60,63,sc,teacher
9,42,60,63,sc,teacher
9,43,60,63,sc,teacher
9,44,60,63,sc,teacher
10,45,60,63,sc,teacher
10,46,60,63,sc,teacher
10,47,60,63,sc,teacher
11,48,60,63,sc,teacher
12,49,60,63,sc,teacher
12,50,60,63,sc,teacher
13,51,60,63,sc,teacher
13,52,60,63,sc,teacher
14,53,60,63,sc,teacher
15,54,60,63,sc,teacher
15,55,60,63,sc,teacher
16,56,60,63,sc,teacher
16,57,60,63,sc,teacher
1,0,64,67,sc,teacher
1,1,64,67,sc,teacher
1,2,64,67,sc,teacher
1,3,64,67,sc,teacher
1,4,64,67,sc,teacher
1,5,64,67,sc,teacher
1,6,64,67,sc,teacher
1,7,64,67,sc,teacher
1,8,64,67,sc,teacher
1,9,64,67,sc,teacher
1,10,64,67,sc,teacher
1,11,64,67,sc,teacher
1,12,64,67,sc,teacher
1,13,64,67,sc,teacher
2,14,64,67,sc,teacher
2,15,64,67,sc,teacher
2,16,64,67,sc,teacher
2,17,64,67,sc,teacher
3,18,64,67,sc,teacher
3,19,64,67,sc,teacher
3,20,64,67,sc,teacher
3,21,64,67,sc,teacher
4,22,64,67,sc,teacher
4,23,64,67,sc,teacher
4,24,64,67,sc,teacher
4,25,64,67,sc,teacher
5,26,64,67,sc,teacher
5,27,64,67,sc,teacher
5,28,64,67,sc,teacher
5,29,64,67,sc,teacher
6,30,64,67,sc,teacher
6,31,64,67,sc,teacher
6,32,64,67,sc,teacher
6,33,64,67,sc,teacher
7,34,64,67,sc,teacher
7,35,64,67,sc,teacher
7,36,64,67,sc,teacher
7,37,64,67,sc,teacher
8,38,64,67,sc,teacher
8,39,64,67,sc,teacher
8,40,64,67,sc,teacher
8,41,64,67,sc,teacher
9,42,64,67,sc,teacher
9,43,64,67,sc,teacher
9,44,64,67,sc,teacher
9,45,64,67,sc,teacher
10,46,64,67,sc,teacher
10,47,64,67,sc,teacher
10,48,64,67,sc,teacher
11,49,64,67,sc,teacher
12,50,64,67,sc,teacher
12,51,64,67,sc,teacher
13,52,64,67,sc,teacher
13,53,64,67,sc,teacher
14,54,64,67,sc,teacher
15,55,64,67,sc,teacher
15,56,64,67,sc,teacher
16,57,64,67,sc,teacher
1,0,68,71,sc,teacher
1,1,68,71,sc,teacher
1,2,68,71,sc,teacher
1,3,68,71,sc,teacher
1,4,68,71,sc,teacher
1,5,68,71,sc,teacher
1,6,68,71,sc,teacher
1,7,68,71,sc,teacher
1,8,68,71,sc,teacher
1,9,68,71,sc,teacher
1,10,68,71,sc,teacher
1,11,68,71,sc,teacher
1,12,68,71,sc,teacher
1,13,68,71,sc,teacher
1,14,68,71,sc,teacher
1,15,68,71,sc,teacher
2,16,68,71,sc,teacher
2,17,68,71,sc,teacher
2,18,68,71,sc,teacher
2,19,68,71,sc,teacher
3,20,68,71,sc,teacher
3,21,68,71,sc,teacher
3,22,68,71,sc,teacher
3,23,68,71,sc,teacher
4,24,68,71,sc,teacher
4,25,68,71,sc,teacher
4,26,68,71,sc,teacher
4,27,68,71,sc,teacher
5,28,68,71,sc,teacher
5,29,68,71,sc,teacher
5,30,68,71,sc,teacher
5,31,68,71,sc,teacher
6,32,68,71,sc,teacher
6,33,68,71,sc,teacher
6,34,68,71,sc,teacher
6,35,68,71,sc,teacher
7,36,68,71,sc,teacher
7,37,68,71,sc,teacher
7,38,68,71,sc,teacher
8,39,68,71,sc,teacher
8,40,68,71,sc,teacher
8,41,68,71,sc,teacher
8,42,68,71,sc,teacher
9,43,68,71,sc,teacher
9,44,68,71,sc,teacher
9,45,68,71,sc,teacher
9,46,68,71,sc,teacher
10,47,68,71,sc,teacher
10,48,68,71,sc,teacher
10,49,68,71,sc,teacher
11,50,68,71,sc,teacher
12,51,68,71,sc,teacher
12,52,68,71,sc,teacher
13,53,68,71,sc,teacher
14,54,68,71,sc,teacher
14,55,68,71,sc,teacher
15,56,68,71,sc,teacher
15,57,68,71,sc,teacher
1,0,72,75,sc,teacher
1,1,72,75,sc,teacher
1,2,72,75,sc,teacher
1,3,72,75,sc,teacher
1,4,72,75,sc,teacher
1,5,72,75,sc,teacher
1,6,72,75,sc,teacher
1,7,72,75,sc,teacher
1,8,72,75,sc,teacher
1,9,72,75,sc,teacher
1,10,72,75,sc,teacher
1,11,72,75,sc,teacher
1,12,72,75,sc,teacher
1,13,72,75,sc,teacher
