scaled_score,raw_score,min_age,max_age,sub_domain,for
2,0,60,63,soc,teacher
2,1,60,63,soc,teacher
2,2,60,63,soc,teacher
2,3,60,63,soc,teacher
2,4,60,63,soc,teacher
3,5,60,63,soc,teacher
3,6,60,63,soc,teacher
3,7,60,63,soc,teacher
3,8,60,63,soc,teacher
3,9,60,63,soc,teacher
3,10,60,63,soc,teacher
4,11,60,63,soc,teacher
4,12,60,63,soc,teacher
4,13,60,63,soc,teacher
4,14,60,63,soc,teacher
4,15,60,63,soc,teacher
4,16,60,63,soc,teacher
4,17,60,63,soc,teacher
5,18,60,63,soc,teacher
5,19,60,63,soc,teacher
5,20,60,63,soc,teacher
5,21,60,63,soc,teacher
5,22,60,63,soc,teacher
5,23,60,63,soc,teacher
6,24,60,63,soc,teacher
6,25,60,63,soc,teacher
6,26,60,63,soc,teacher
6,27,60,63,soc,teacher
6,28,60,63,soc,teacher
6,29,60,63,soc,teacher
7,30,60,63,soc,teacher
7,31,60,63,soc,teacher
7,32,60,63,soc,teacher
7,33,60,63,soc,teacher
7,34,60,63,soc,teacher
7,35,60,63,soc,teacher
8,36,60,63,soc,teacher
8,37,60,63,soc,teacher
8,38,60,63,soc,teacher
8,39,60,63,soc,teacher
8,40,60,63,soc,teacher
8,41,60,63,soc,teacher
8,42,60,63,soc,teacher
9,43,60,63,soc,teacher
9,44,60,63,soc,teacher
9,45,60,63,soc,teacher
9,46,60,63,soc,teacher
9,47,60,63,soc,teacher
9,48,60,63,soc,teacher
10,49,60,63,soc,teacher
10,50,60,63,soc,teacher
10,51,60,63,soc,teacher
10,52,60,63,soc,teacher
11,53,60,63,soc,teacher
11,54,60,63,soc,teacher
12,55,60,63,soc,teacher
12,56,60,63,soc,teacher
13,57,60,63,soc,teacher
13,58,60,63,soc,teacher
14,59,60,63,soc,teacher
14,60,60,63,soc,teacher
14,61,60,63,soc,teacher
15,62,60,63,soc,teacher
15,63,60,63,soc,teacher
16,64,60,63,soc,teacher
16,65,60,63,soc,teacher
17,66,60,63,soc,teacher
1,0,64,67,soc,teacher
1,1,64,67,soc,teacher
2,2,64,67,soc,teacher
2,3,64,67,soc,teacher
2,4,64,67,soc,teacher
2,5,64,67,soc,teacher
2,6,64,67,soc,teacher
2,7,64,67,soc,teacher
3,8,64,67,soc,teacher
3,9,64,67,soc,teacher
3,10,64,67,soc,teacher
3,11,64,67,soc,teacher
3,12,64,67,soc,teacher
3,13,64,67,soc,teacher
4,14,64,67,soc,teacher
4,15,64,67,soc,teacher
4,16,64,67,soc,teacher
4,17,64,67,soc,teacher
4,18,64,67,soc,teacher
4,19,64,67,soc,teacher
5,20,64,67,soc,teacher
5,21,64,67,soc,teacher
5,22,64,67,soc,teacher
5,23,64,67,soc,teacher
5,24,64,67,soc,teacher
5,25,64,67,soc,teacher
6,26,64,67,soc,teacher
6,27,64,67,soc,teacher
6,28,64,67,soc,teacher
6,29,64,67,soc,teacher
6,30,64,67,soc,teacher
6,31,64,67,soc,teacher
7,32,64,67,soc,teacher
7,33,64,67,soc,teacher
7,34,64,67,soc,teacher
7,35,64,67,soc,teacher
7,36,64,67,soc,teacher
7,37,64,67,soc,teacher
7,38,64,67,soc,teacher
8,39,64,67,soc,teacher
8,40,64,67,soc,teacher
8,41,64,67,soc,teacher
8,42,64,67,soc,teacher
8,43,64,67,soc,teacher
8,44,64,67,soc,teacher
9,45,64,67,soc,teacher
9,46,64,67,soc,teacher
9,47,64,67,soc,teacher
9,48,64,67,soc,teacher
9,49,64,67,soc,teacher
9,50,64,67,soc,teacher
10,51,64,67,soc,teacher
10,52,64,67,soc,teacher
10,53,64,67,soc,teacher
10,54,64,67,soc,teacher
11,55,64,67,soc,teacher
11,56,64,67,soc,teacher
12,57,64,67,soc,teacher
12,58,64,67,soc,teacher
13,59,64,67,soc,teacher
13,60,64,67,soc,teacher
14,61,64,67,soc,teacher
14,62,64,67,soc,teacher
15,63,64,67,soc,teacher
15,64,64,67,soc,teacher
16,65,64,67,soc,teacher
16,66,64,67,soc,teacher
1,0,68,71,soc,teacher
1,1,68,71,soc,teacher
1,2,68,71,soc,teacher
1,3,68,71,soc,teacher
2,4,68,71,soc,teacher
2,5,68,71,soc,teacher
2,6,68,71,soc,teacher
2,7,68,71,soc,teacher
2,8,68,71,soc,teacher
2,9,68,71,soc,teacher
3,10,68,71,soc,teacher
3,11,68,71,soc,teacher
3,12,68,71,soc,teacher
3,13,68,71,soc,teacher
3,14,68,71,soc,teacher
3,15,68,71,soc,teacher
4,16,68,71,soc,teacher
4,17,68,71,soc,teacher
4,18,68,71,soc,teacher
4,19,68,71,soc,teacher
4,20,68,71,soc,teacher
4,21,68,71,soc,teacher
5,22,68,71,soc,teacher
5,23,68,71,soc,teacher
5,24,68,71,soc,teacher
5,25,68,71,soc,teacher
5,26,68,71,soc,teacher
5,27,68,71,soc,teacher
6,28,68,71,soc,teacher
6,29,68,71,soc,teacher
6,30,68,71,soc,teacher
6,31,68,71,soc,teacher
6,32,68,71,soc,teacher
6,33,68,71,soc,teacher
7,34,68,71,soc,teacher
7,35,68,71,soc,teacher
7,36,68,71,soc,teacher
7,37,68,71,soc,teacher
7,38,68,71,soc,teacher
7,39,68,71,soc,teacher
8,40,68,71,soc,teacher
8,41,68,71,soc,teacher
8,42,68,71,soc,teacher
8,43,68,71,soc,teacher
8,44,68,71,soc,teacher
8,45,68,71,soc,teacher
9,46,68,71,soc,teacher
9,47,68,71,soc,teacher
9,48,68,71,soc,teacher
9,49,68,71,soc,teacher
9,50,68,71,soc,teacher
9,51,68,71,soc,teacher
10,52,68,71,soc,teacher
10,53,68,71,soc,teacher
10,54,68,71,soc,teacher
