scaled_score,raw_score,min_age,max_age,sub_domain,for
1,0,204,252,wk,teacher
1,1,204,252,wk,teacher
1,2,204,252,wk,teacher
1,3,204,252,wk,teacher
1,4,204,252,wk,teacher
1,5,204,252,wk,teacher
1,6,204,252,wk,teacher
1,7,204,252,wk,teacher
1,8,204,252,wk,teacher
1,9,204,252,wk,teacher
1,10,204,252,wk,teacher
1,11,204,252,wk,teacher
1,12,204,252,wk,teacher
1,13,204,252,wk,teacher
1,14,204,252,wk,teacher
1,15,204,252,wk,teacher
1,16,204,252,wk,teacher
1,17,204,252,wk,teacher
1,18,204,252,wk,teacher
1,19,204,252,wk,teacher
1,20,204,252,wk,teacher
1,21,204,252,wk,teacher
1,22,204,252,wk,teacher
2,23,204,252,wk,teacher
2,24,204,252,wk,teacher
2,25,204,252,wk,teacher
3,26,204,252,wk,teacher
3,27,204,252,wk,teacher
3,28,204,252,wk,teacher
3,29,204,252,wk,teacher
4,30,204,252,wk,teacher
4,31,204,252,wk,teacher
4,32,204,252,wk,teacher
4,33,204,252,wk,teacher
5,34,204,252,wk,teacher
5,35,204,252,wk,teacher
5,36,204,252,wk,teacher
5,37,204,252,wk,teacher
6,38,204,252,wk,teacher
6,39,204,252,wk,teacher
6,40,204,252,wk,teacher
7,41,204,252,wk,teacher
7,42,204,252,wk,teacher
7,43,204,252,wk,teacher
7,44,204,252,wk,teacher
8,45,204,252,wk,teacher
8,46,204,252,wk,teacher
8,47,204,252,wk,teacher
8,48,204,252,wk,teacher
9,49,204,252,wk,teacher
9,50,204,252,wk,teacher
9,51,204,252,wk,teacher
9,52,204,252,wk,teacher
10,53,204,252,wk,teacher
10,54,204,252,wk,teacher
11,55,204,252,wk,teacher
12,56,204,252,wk,teacher
14,57,204,252,wk,teacher
